Symbol,logFC
TSPAN6,-0.119235508
DPM1,-0.328467363
SCYL3,-0.295803425
C1orf112,-1.0290789
FUCA2,-0.062516334
GCLC,-0.819060794
NFYA,-0.984456512
C1orf201,-0.259616776
NIPAL3,0.494725378
LAS1L,-0.286594718
ENPP4,0.123549677
SEMA3F,1.538525088
CFTR,0.828158359
ANKIB1,-0.229691746
KRIT1,-0.416289776
RAD52,-0.51483852
MYH16,0.748934343
BAD,0.866815074
LAP3,-0.266302508
CD99,0.538274779
HS3ST1,0.430230256
ABP1,2.190299581
HECW1,-1.498193396
MAD1L1,0.037627895
LASP1,0.23755429
SNX11,0.478651322
M6PR,-0.404352135
KLHL13,-0.127860992
ICA1,0.432064063
DBNDD1,0.360936576
ALS2,-0.03145999
CASP10,0.502148983
CFLAR,0.24283424
C2orf56,-0.174352483
RBM5,0.01904884
MTMR7,-1.223724572
SARM1,0.502543066
POLDIP2,0.5370062
PLXND1,-0.05911884
AK2,0.330842209
FKBP4,-0.389793109
KDM1A,-0.614940881
RBM6,-0.322703304
CAMKK1,-0.889364509
RECQL,-0.483357457
CCDC132,-0.481311427
ARHGAP33,-1.22161659
NDUFAB1,-0.558479592
ABCB5,-0.190528563
SLC25A13,-0.478839033
ST7,0.197928263
CDC27,-0.882490188
HCCS,0.100827304
DVL2,-0.064400286
PRSS22,1.097323987
UPF1,-0.473966095
SKAP2,-0.206680962
SLC25A5,-0.307628164
CCDC109B,-0.304732119
HOXA11,-0.288052931
POLR2J,0.322236771
DHX33,-0.246797706
THSD7A,-0.853778114
LIG3,-0.157661071
RPAP3,-0.435580708
ACSM3,-0.125516054
CIAPIN1,-0.051565357
SPPL2B,0.368293348
FAM214B,1.416846139
MSL3,-0.035095765
CREBBP,-0.276764432
BZRAP1,0.21161058
GCFC2,-0.919776643
WDR54,1.544661792
CROT,0.462644768
MLL5,-0.419777083
RHBDD2,0.750920926
IBTK,-0.123700982
ZNF195,-0.050740304
MYCBP2,-0.394585529
FBXL3,-0.731829045
PDK2,0.317630138
ITGA3,1.689011256
ZFX,-0.797990912
LAMP2,-0.39340613
GGNBP2,-0.339223158
ASB4,-0.630535322
GDE1,0.012724613
C19orf60,0.525105489
OSBPL7,1.285657706
YBX2,-0.252411541
MAP3K14,0.42979348
SYNRG,-0.134690284
CACNG3,-0.358838541
TMEM132A,0.11543001
AP2B1,0.15590666
ZNF263,-0.384628608
SPATA20,1.414794596
TNFRSF12A,0.481661702
MAP3K9,-0.007523723
RALA,-0.352709453
BAIAP2L1,0.302700866
JHDM1D,0.372848131
AGK,-0.450714959
TTC22,1.026888598
PHTF2,-1.046583078
CCL26,1.950162424
FARP2,-0.588446803
USH1C,1.315688664
GGCT,-0.75668442
DBF4,-1.338338837
IFRD1,-0.260182176
COX10,-0.517456756
GTF2IRD1,-0.175906992
PAF1,0.260247959
VPS41,-0.085177852
ARHGAP44,-0.444137414
ELAC2,-0.079244391
SCIN,3.287981915
ARSD,1.312083833
PNPLA4,0.357275622
MYH13,0.59790748
ADIPOR2,-0.349962118
CDKL3,0.056333382
UPP2,1.039703568
MARK4,0.717835796
PROM1,0.357077762
CCDC124,0.191903417
PAFAH1B1,-0.403393056
NOS2,0.445305377
DNAH9,0.302599585
KIAA0100,0.154306897
GAS7,0.901089591
TRAPPC6A,1.142350122
CD79B,2.693363204
ST7L,-0.427242043
PAX6,-0.970392149
RPUSD1,0.259541379
RHBDF1,1.399340489
LUC7L,-0.006267999
CACNA2D2,1.267495575
BAIAP3,1.949765113
C16orf42,-0.069212247
PIGQ,0.407488708
TEAD3,0.027540487
DNAJC11,-0.465418703
MYLIP,-0.303422534
NOX1,-1.335865383
E2F2,-0.732499674
PSMB1,-0.001953553
JARID2,-0.239814814
CDKL5,0.231873323
CDK11A,-0.223915706
NADK,0.278044644
DLEC1,0.767902378
CYTH3,-0.500348282
ADAM22,-0.996987789
SYPL1,-0.436574095
CYB561,0.192672306
SPAG9,-0.013094879
CELSR3,0.966959064
AASS,0.629966333
PLEKHG6,0.524236972
MPND,0.669520453
MGST1,-0.717630677
CRY1,-0.72971819
NFIX,-0.030927004
ST3GAL1,1.677110697
IL32,1.820162864
PKD1,-0.438573584
MED24,0.0682253
RHOBTB2,0.98736134
HEATR5B,0.176527223
SEC62,-0.347123583
RPS20,0.116770057
CSDE1,-0.343852225
UBE3C,-0.227275507
REV3L,-0.250939536
ODZ1,-0.791695498
MASP2,-0.769896963
IYD,0.193510627
FAM76A,0.045701409
TRAF3IP3,-0.633284429
POMT2,-0.235634308
VTA1,-0.349352902
MLXIPL,-0.215331148
BAZ1B,-0.518269806
RANBP9,0.143014524
ETV7,0.597557373
C1orf124,-0.2238468
METTL13,0.029033825
ZNF207,-0.660166005
UQCRC1,0.506099136
CD9,0.412734955
NCAPD2,-0.75727121
GIPR,1.040005559
PHF7,-0.673472602
SEMA3G,0.64451347
NISCH,0.211281707
IDS,0.052124321
PRSS3,1.330905144
ZNF200,-0.10818325
LRRC23,0.433200715
HFE,0.490720068
SCMH1,-0.646308413
FYN,0.39311112
HIVEP2,0.767747469
FMO1,-1.280729282
TCEB3,0.279254167
LYPLA2,0.843615875
CLCN6,0.19712554
MRC2,0.858108493
SLC6A7,1.599147879
TSPAN9,0.355482929
BTBD7,-0.286409578
APBA3,-0.577123695
MKS1,-0.030260972
ABHD5,-0.503921555
KAL1,-0.180619363
AKAP8L,-0.087614215
MBTD1,-0.878514257
UTP18,-1.02266177
RNF216,-0.105755584
TTC19,-0.196235636
PTBP1,-0.521728498
DPF1,0.750619364
SYT7,0.990190039
LARS2,-0.103671579
PIK3C2A,-0.193257503
PLAUR,1.036201787
ANLN,-1.484813802
WIZ,0.225272927
RABGAP1,0.172935141
QPCTL,0.074429178
PPP5C,-0.07554638
CEP68,0.058881303
MAP4K3,-0.314236986
TMEM159,0.336606356
GABRA3,-0.277602477
BRCA1,-0.801139211
ERCC1,1.757174236
CD22,1.926200552
SEMA3B,2.325357701
MBTPS2,-0.023671026
PRICKLE3,0.303512115
EXTL3,0.279517842
ELOVL5,-0.456713112
ALOX5,2.846368376
CALCOCO1,1.893354557
UBR7,-1.230565755
MAP4K5,-0.693972822
PSMC4,0.082866441
MAN2B2,0.941887252
CLDN11,0.443917707
SLC25A39,0.401335422
MVP,1.880173064
NUB1,-0.504578569
PGM3,-0.585200865
RWDD2A,0.930440706
CLK1,-0.66715974
POLR3B,-0.895756329
ANGEL1,0.026061255
RNF14,0.607065224
DNASE1L1,0.886092473
DDX11,-0.397451932
HEBP1,0.325936085
GPRC5A,1.60741036
MAMLD1,-0.823978867
CD6,1.661139339
TACC3,-0.558602082
UFL1,-0.118105526
POLA2,-0.305904578
ZC3H3,-0.310044362
CAPN1,0.660990744
ACPP,1.403817893
SLC30A9,0.104663459
MTMR11,-0.502223626
CCDC88C,-0.613091825
YAF2,-0.543037213
ZMYND11,-0.668899235
DPEP1,0.167839464
BID,0.01698607
MATR3,-1.131933359
NPC1L1,1.408965349
XYLT2,0.07278022
RGPD5,-0.388915165
NUDCD3,0.399351757
ISL1,-0.741009416
CHDH,-0.227308009
IL20RA,0.322490526
GLT8D1,-0.589410414
ATP2C1,-0.291506287
SRCIN1,0.378524125
RALBP1,-0.201965835
RUFY3,-0.836575705
CNTN1,-0.253921598
WWTR1,0.207894312
AGPS,0.20511372
CXorf56,-0.242474926
