Symbol,logFC
TSPAN6,-0.049995986
DPM1,-0.447450971
SCYL3,-0.412155842
C1orf112,-0.552136878
FUCA2,-0.503912545
GCLC,-0.70283147
NFYA,-1.281555856
C1orf201,-0.246457663
NIPAL3,0.387347911
LAS1L,-0.646536002
ENPP4,-0.070152407
SEMA3F,0.818673478
CFTR,0.121193897
ANKIB1,-0.184982492
KRIT1,-0.62009658
RAD52,-0.265271543
MYH16,2.357337399
BAD,1.189902751
LAP3,-1.547568194
CD99,0.633673829
HS3ST1,0.560515082
ABP1,0.9787337
HECW1,1.344187205
MAD1L1,0.093750066
LASP1,-0.128082329
SNX11,0.268942241
M6PR,-1.20126288
KLHL13,-0.68193033
ICA1,0.366200265
DBNDD1,-0.966729264
ALS2,-0.194059108
CASP10,-0.053257517
CFLAR,-0.039693146
C2orf56,-0.130380958
RBM5,-0.534672971
MTMR7,-0.661855509
SARM1,0.907147564
POLDIP2,0.045828729
PLXND1,0.046885954
AK2,0.023252076
FKBP4,-1.518940828
KDM1A,-1.649364142
RBM6,0.146091836
CAMKK1,-0.306002746
RECQL,-0.747878376
CCDC132,-0.175332361
ARHGAP33,-0.863658519
NDUFAB1,0.338212724
ABCB5,0.49631249
SLC25A13,-0.799032513
ST7,0.34717611
CDC27,-0.375229145
HCCS,-0.920946108
DVL2,-0.177988704
PRSS22,0.505235497
UPF1,-1.006049591
SKAP2,-0.167910624
SLC25A5,-0.191870141
CCDC109B,0.349210886
HOXA11,-0.050767698
POLR2J,0.722719543
DHX33,0.112288136
THSD7A,1.101092684
LIG3,-0.657895398
RPAP3,-0.200291517
ACSM3,0.001584034
CIAPIN1,-0.22053244
SPPL2B,0.007927122
FAM214B,-0.406082911
MSL3,0.514034821
CREBBP,-0.127682178
BZRAP1,-0.081820833
GCFC2,-0.273506397
WDR54,1.939453835
CROT,0.527055974
MLL5,0.221515484
RHBDD2,0.494005187
IBTK,-0.150198051
ZNF195,-0.131319357
MYCBP2,0.234918885
FBXL3,-0.532430252
PDK2,-0.875248128
ITGA3,1.077015827
ZFX,-0.851727298
LAMP2,-0.595186024
GGNBP2,0.011125655
ASB4,1.273323005
GDE1,-0.729954777
C19orf60,0.83583807
OSBPL7,0.977758592
YBX2,-0.563923076
MAP3K14,0.326439655
SYNRG,0.164525574
CACNG3,1.500548518
TMEM132A,-0.637762065
AP2B1,0.094282113
ZNF263,-1.251752162
SPATA20,0.137825517
TNFRSF12A,-0.886525562
MAP3K9,-0.067696736
RALA,-0.412855681
BAIAP2L1,0.166330254
JHDM1D,-0.047708793
AGK,-0.380506345
TTC22,0.329717823
PHTF2,-0.3582055
CCL26,1.134910321
FARP2,-0.593041605
USH1C,0.838652618
GGCT,-0.661132049
DBF4,-0.622501086
IFRD1,-0.334477705
COX10,-0.585984621
GTF2IRD1,0.396576815
PAF1,0.012392788
VPS41,0.158714117
ARHGAP44,0.07017057
ELAC2,-0.43078765
SCIN,2.962521555
ARSD,0.871054405
PNPLA4,0.646614154
MYH13,0.675765259
ADIPOR2,-0.924223622
CDKL3,1.055006547
UPP2,0.738909605
MARK4,0.442432995
PROM1,1.971250792
CCDC124,-0.129148459
PAFAH1B1,-0.472506587
NOS2,0.57989855
DNAH9,1.181556784
KIAA0100,-0.933547476
GAS7,1.704314274
TRAPPC6A,0.472286679
CD79B,2.338663805
ST7L,0.045578683
PAX6,-0.539433898
RPUSD1,-0.435339628
RHBDF1,0.534848296
LUC7L,0.146709551
CACNA2D2,0.643223886
BAIAP3,1.206800529
C16orf42,-0.388084145
PIGQ,-0.263027345
TEAD3,-0.676940687
DNAJC11,-0.94589474
MYLIP,0.269506772
NOX1,-0.407485019
E2F2,-0.998932751
PSMB1,0.257896428
JARID2,-0.019005
CDKL5,0.105904598
CDK11A,0.027516441
NADK,0.096189063
DLEC1,0.50289357
CYTH3,-0.534031133
ADAM22,1.197978001
SYPL1,-0.748604391
CYB561,-0.131071362
SPAG9,0.153592468
CELSR3,0.097322012
AASS,0.728571515
PLEKHG6,0.961722041
MPND,0.956312934
MGST1,-0.717173924
CRY1,-0.193029719
NFIX,-0.32790649
ST3GAL1,1.152695554
IL32,0.650828313
PKD1,-0.583807661
MED24,-0.193685445
RHOBTB2,-0.493756455
HEATR5B,-0.240617174
SEC62,-0.499433773
RPS20,0.724267868
CSDE1,-0.791192695
UBE3C,-0.561510776
REV3L,0.314132634
ODZ1,0.289107346
MASP2,-0.606487704
IYD,0.147486365
FAM76A,0.172524237
TRAF3IP3,0.62620207
POMT2,-0.376621563
VTA1,-0.302995248
MLXIPL,0.102066473
BAZ1B,0.117444933
RANBP9,-0.337536581
ETV7,1.044000982
C1orf124,-0.047689375
METTL13,-0.599264089
ZNF207,-0.520761038
UQCRC1,0.234107529
CD9,0.039877102
NCAPD2,-0.682562661
GIPR,0.944034056
PHF7,0.046772719
SEMA3G,0.411347639
NISCH,-0.090748735
IDS,-0.263424794
PRSS3,1.833142348
ZNF200,-1.12739018
LRRC23,0.597005611
HFE,1.176618502
SCMH1,-0.337435288
FYN,0.342579853
HIVEP2,0.262395948
FMO1,-0.55639866
TCEB3,0.058459011
LYPLA2,0.388411709
CLCN6,-0.05036258
MRC2,0.648738824
SLC6A7,1.162505591
TSPAN9,0.339040701
BTBD7,-0.336862944
APBA3,-0.072385181
MKS1,0.6125151
ABHD5,-0.477654105
KAL1,1.618582767
AKAP8L,-0.119611677
MBTD1,-0.346775216
UTP18,-1.010517335
RNF216,0.13110385
TTC19,0.052941797
PTBP1,-0.279592797
DPF1,1.065472893
SYT7,0.36364322
LARS2,-0.488335857
PIK3C2A,-0.172835668
PLAUR,1.053849003
ANLN,-1.308392652
WIZ,-0.675454185
RABGAP1,0.169051335
QPCTL,1.101565857
PPP5C,-0.547651089
CEP68,0.642491745
MAP4K3,-0.105251986
TMEM159,0.661088914
GABRA3,1.183555098
BRCA1,-0.890290894
ERCC1,1.650998678
CD22,1.063861554
SEMA3B,1.087219032
MBTPS2,0.112773706
PRICKLE3,0.23113738
EXTL3,-0.235845393
ELOVL5,-1.337304393
ALOX5,2.935791624
CALCOCO1,0.800847898
UBR7,-0.938191881
MAP4K5,-0.439035637
PSMC4,-0.383456787
MAN2B2,1.011132887
CLDN11,0.298458925
SLC25A39,-0.823071147
MVP,0.544432272
NUB1,-0.546879176
PGM3,-1.106619341
RWDD2A,0.277205907
CLK1,-0.555129239
POLR3B,-1.144793869
ANGEL1,0.311598421
RNF14,0.513582986
DNASE1L1,1.073480919
DDX11,-0.708792447
HEBP1,0.036723287
GPRC5A,0.021947296
MAMLD1,-0.704216148
CD6,1.408832017
TACC3,-0.324904805
UFL1,0.486111204
POLA2,-0.408002234
ZC3H3,-0.797912092
CAPN1,0.083887449
ACPP,0.353908633
SLC30A9,-0.10434664
MTMR11,-0.480390558
CCDC88C,0.069175658
YAF2,-0.170688662
ZMYND11,-0.465275105
DPEP1,-0.050672156
BID,0.084785846
MATR3,-0.900068469
NPC1L1,0.992575516
XYLT2,-0.0421102
RGPD5,-0.236605213
NUDCD3,0.167563596
ISL1,-0.5520884
CHDH,-0.738830484
IL20RA,0.324390092
GLT8D1,-0.115556286
ATP2C1,-0.706602646
SRCIN1,1.061376534
RALBP1,0.258618441
RUFY3,0.136014335
CNTN1,2.037345945
WWTR1,0.749393889
AGPS,-0.67991897
CXorf56,-0.30667038
TTC27,-0.191289162
PHLDB1,0.260491725
CD74,2.119622259
ZRANB1,-0.450004423
NCDN,-1.074518968
ZFP64,0.228777199
MNAT1,-0.096180402
MRE11A,-0.729652178
PLEKHB1,1.531962456
SERPINB1,0.570563003
SPAST,-0.484969993
NRXN3,1.047309592
OSBPL5,-0.249993598
AQR,-0.410737234
CPS1,-0.050335426
C20orf43,-0.706127184
SLC45A4,-0.137426854
RNF10,-0.379897237
ZNF839,0.005628501
ZDHHC6,-0.673901434
GRAMD1B,0.925456448
RNH1,-0.534900949
NDUFS1,-0.422289009
RB1CC1,0.26280896
ERP44,-0.309421933
ALAS1,-0.233513342
BIRC3,0.115125599
AKAP11,-0.251972415
GLRX2,-0.673102543
SNAPC1,0.337560038
DERA,0.086372721
STRAP,-0.340343414
ABCC2,0.525086063
DEF6,0.125083297
GCLM,-0.685434551
UBR2,-0.325059268
EHD2,1.202669149
DEPDC1,-0.824003513
CCDC28A,-0.141940504
RRAGD,0.369463159
HSF2,-0.522511374
