Entrez_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
653635,0.220004826,3.815911356,2.131395674,0.035634176,0.086563525,-4.930211988
729737,-0.140759206,3.611066469,-0.822681935,0.412746538,0.554588108,-6.793675691
102723897,0.254693634,3.738780581,2.470256101,0.015282783,0.044535277,-4.170505626
100132287,-0.268435084,2.716250327,-1.665993692,0.099004739,0.189858806,-5.576988457
102465432,0.101405932,5.876734289,0.498404147,0.619349737,0.735381249,-7.270810283
100133331,-0.210451852,2.814028681,-1.565682402,0.120743926,0.221350947,-5.760839206
100288069,-0.22668267,0.005686323,-0.829381912,0.408964877,0.551478843,-6.142104659
79854,0.366809582,0.308362635,1.286995639,0.201218934,0.327095305,-5.704455918
643837,-0.664640878,5.622428419,-5.37325605,5.49E-07,1.17E-05,5.319100038
100130417,-0.096256232,0.252866454,-0.273773852,0.784852033,0.861671704,-6.453843952
148398,0.328089005,0.908646859,1.011125685,0.314521458,0.45423808,-6.131385003
26155,0.199985016,6.684079437,2.376045594,0.019503631,0.054055193,-4.657749065
339451,-0.431182803,4.054823131,-2.499395387,0.014153852,0.041886602,-4.11770851
57801,-0.180418865,5.979831384,-0.964363099,0.337309284,0.47842533,-6.934935659
9636,0.658450122,3.745990772,3.18757682,0.001941986,0.008555883,-2.29386679
375790,0.540817079,10.0974329,3.551133276,0.000598569,0.003294031,-1.312756369
54991,-0.771052207,3.399961785,-5.056771295,2.07E-06,3.37E-05,4.29023494
51150,0.198618634,8.49081391,1.923653355,0.057388057,0.126165369,-5.53761341
126792,-0.189655091,6.211809478,-1.924631236,0.057263865,0.125931115,-5.581023703
388581,0.824218889,0.144455397,3.017593829,0.003269293,0.013043375,-2.211407565
118424,0.33418958,5.841288127,2.702102665,0.008159887,0.027090219,-3.848123822
6339,0.739730394,2.956464716,2.944037176,0.004071258,0.015527107,-2.834277298
116983,0.098644003,6.48234446,0.697325181,0.487300225,0.623323472,-7.171920226
126789,-0.848165101,2.929654571,-4.83501296,5.11E-06,7.00E-05,3.508499806
54973,0.095167542,6.071405357,1.268763584,0.207621514,0.334538657,-6.601573717
80772,-0.057777552,4.871429268,-0.526337777,0.59987869,0.719683063,-7.144423093
83756,0.581013936,0.750659252,1.945136352,0.054711526,0.121610505,-4.742802837
1855,-0.173917536,5.987221876,-1.786022796,0.077282073,0.158300204,-5.818810691
54587,-0.340033288,4.562730098,-2.002114208,0.04812007,0.109743886,-5.283528314
54998,-0.058979374,5.907405796,-0.583495543,0.560940777,0.6874076,-7.219286988
81669,0.383004117,7.542892876,2.508900159,0.01380212,0.04108411,-4.337178399
148413,-0.039661226,3.813907526,-0.45082465,0.653141949,0.762880482,-7.029396272
55052,-0.188520905,5.565462683,-1.942294936,0.055059351,0.122193421,-5.503856666
64856,-0.388339845,3.882356854,-1.6014226,0.112599381,0.209943712,-5.877469448
219293,-0.192404851,0.494230169,-0.872188731,0.385301707,0.528402139,-6.134000882
83858,-0.263730396,4.936205678,-2.088565477,0.03941793,0.093712958,-5.143524566
55210,-0.638688596,5.373485937,-5.856999044,6.72E-08,2.02E-06,7.397922922
339453,-0.790914448,1.619327343,-4.343997651,3.50E-05,0.000338803,1.811881496
29101,0.019156819,6.363927195,0.196330355,0.844770454,0.903421009,-7.396764293
643988,-0.848212853,3.64730375,-2.561066639,0.012007661,0.036840865,-3.894408813
142678,0.593947382,6.956657996,4.001397824,0.000124621,0.000935084,0.033339044
8510,-0.89045913,4.907379689,-3.779221734,0.000274356,0.001764651,-0.585906984
984,-0.071099008,5.97212873,-1.03200444,0.304686905,0.443488717,-6.862374239
728661,-0.232374081,6.783076798,-2.845914589,0.005424026,0.019513648,-3.507860241
8511,-0.859851657,5.722070765,-3.638308556,0.000445888,0.002608143,-1.134781815
728642,0.093802867,5.692710846,1.033565081,0.303960213,0.442701742,-6.841267037
9906,-0.249787788,5.611413743,-2.269714723,0.025483072,0.066400143,-4.8455426
65220,0.012202991,5.606149128,0.151946075,0.879551286,0.927761898,-7.356140135
2782,-0.066869506,8.266836187,-0.531367442,0.59640288,0.716761014,-7.234767148
105378949,0.673435338,-0.054421449,2.785593811,0.006448817,0.022366447,-2.792299534
5590,-0.639769149,5.003162108,-4.578619072,1.42E-05,0.000163042,2.223751682
100506504,-0.207225102,1.05872996,-0.942766877,0.348188527,0.489493352,-6.209310561
199990,-0.220918788,4.994265242,-2.121308844,0.036495749,0.088325898,-5.0923698
6497,0.153238613,6.537220044,1.155926504,0.250606383,0.384775113,-6.749985974
79906,-0.092278894,2.367761166,-0.587323269,0.558378213,0.685384896,-6.686431576
100129534,-0.010166952,0.349211782,-0.03738536,0.970256095,0.981877164,-6.525325728
11079,0.163956257,7.07464537,2.571867121,0.011663496,0.035954891,-4.198404537
5192,0.190582188,3.818259888,1.253332436,0.213156765,0.341332897,-6.366324737
55229,-0.133362482,5.663331141,-1.695664154,0.093220467,0.181645066,-5.948214318
127281,-1.245010147,4.181960775,-5.352005154,6.00E-07,1.25E-05,5.417775772
440556,-0.355415902,3.585987856,-1.484221998,0.141056345,0.2496769,-6.029095094
63976,-0.908791983,4.893051649,-4.174120746,6.62E-05,0.000564563,0.743183533
27237,0.381899808,2.931263642,2.13294262,0.035503614,0.086275715,-4.787091751
1953,0.162668249,6.502576921,1.011144548,0.314512478,0.45423808,-6.906701234
127262,0.006920291,5.665550175,0.042926139,0.965850393,0.980336776,-7.361739717
49856,0.066849751,3.66726967,0.508019979,0.612615421,0.730361158,-6.998592596
57212,-0.046368423,5.171007961,-0.573704046,0.567522132,0.692805862,-7.157384051
148870,0.113569596,0.664607878,0.456082454,0.649370293,0.759892875,-6.477913355
388588,-0.683631237,0.697325379,-2.353361479,0.020663098,0.056522676,-3.892141916
57470,0.072477502,6.60264376,0.954761783,0.342118325,0.483373573,-6.962053583
9731,0.032825146,5.259901229,0.23672882,0.813376237,0.882470883,-7.295925711
1677,-0.34979011,1.613902447,-2.015661055,0.046656619,0.10698729,-4.760621288
339448,-0.342421914,3.542317134,-3.205283651,0.001837404,0.008178397,-2.192951507
261734,-0.474917733,2.802430162,-3.02270234,0.003219422,0.012880395,-2.596569112
8514,0.274204245,1.442144245,0.711149282,0.478732013,0.61552525,-6.453391941
6146,-0.09524407,6.660572584,-0.909654069,0.365304216,0.508102367,-7.00499809
102724450,-0.759121377,0.032539094,-2.150304323,0.034066492,0.083479568,-4.224494389
388591,-1.644040856,7.170939156,-4.526616674,1.73E-05,0.000191973,1.931591211
23463,0.135953119,7.167551661,1.026050461,0.30747005,0.446765528,-6.887066912
387509,0.802845311,3.921804624,3.608180567,0.000493914,0.002819909,-1.032705635
11332,0.084506251,5.156441133,0.423322707,0.673015455,0.778451817,-7.23052505
83715,1.817633127,0.308292765,3.468078958,0.000788996,0.00412224,-0.975370308
8718,0.14466155,3.709641478,0.770415339,0.442962862,0.583009191,-6.848826586
57449,0.109831473,6.114606222,0.750529387,0.454788535,0.593648917,-7.125713552
79707,-0.085660871,5.071203798,-1.091386341,0.277859709,0.414843034,-6.711338163
3104,0.271830841,4.047796761,2.847764378,0.005395102,0.01943407,-3.271127981
9903,0.008809672,7.522509658,0.073279054,0.941737935,0.965540028,-7.405228538
148479,-0.215730783,5.257957818,-1.440037921,0.153139927,0.266126184,-6.288211686
90326,-0.318122529,3.042683943,-2.589180195,0.011130318,0.034662871,-3.752112677
55735,-0.04201561,5.786721332,-0.411350347,0.681741011,0.785176561,-7.30326331
23261,-0.080911337,5.072636377,-0.705451693,0.482253232,0.618807863,-7.058734751
9341,0.264391138,6.30730214,2.81657544,0.005902215,0.020835723,-3.575179847
8863,-1.711698424,2.8278315,-4.689520613,9.15E-06,0.000113962,3.018901526
3604,-0.496094062,2.620756676,-1.555370384,0.123178962,0.224872555,-5.680966084
11315,-0.113485865,7.024625729,-1.165105224,0.246889952,0.38045992,-6.740532016
54206,0.423783492,6.215762357,2.469086347,0.015329739,0.044617476,-4.430026334
50651,0.935858601,1.743749038,3.959479563,0.000144939,0.001055273,0.431685016
473,0.06597248,7.519682698,0.912501739,0.363811636,0.50637161,-6.987517869
2023,-0.17224988,9.84273038,-0.795512828,0.428295959,0.569649076,-6.971035593
80045,-0.579005989,1.8013328,-1.961914256,0.052695437,0.118029512,-4.867854157
9563,0.003085903,6.674507579,0.038452738,0.969407303,0.981435542,-7.419525909
80176,-0.05358225,3.063682563,-0.16366967,0.870338454,0.921789258,-6.972314002
84275,-0.370283843,2.521912619,-2.201159358,0.030143862,0.075778909,-4.521170743
199953,-0.148831105,5.364520406,-1.2254586,0.22342815,0.353381763,-6.592326785
5293,0.925446365,3.606993429,5.48735715,3.37E-07,7.75E-06,6.011037515
22883,-0.070233305,8.220823754,-0.718606018,0.474145239,0.611315564,-7.117701398
56998,0.053310195,5.10383406,0.504896601,0.614799231,0.731944182,-7.192269124
84328,-0.287695161,4.359647132,-2.675293759,0.008791218,0.02868597,-3.741256063
64802,0.374466532,4.927795676,4.882119469,4.22E-06,6.00E-05,3.391345605
10277,-0.321899313,6.593101261,-4.233828447,5.30E-05,0.000472135,0.846272163
23095,0.061570112,7.879850428,0.645933286,0.519877864,0.653002816,-7.187158934
5226,0.360366582,7.222903366,2.826566775,0.005735198,0.020381154,-3.553707916
378708,-0.190255489,0.188708444,-0.78133595,0.436545334,0.576906712,-6.176800014
1676,0.223014719,5.253206456,1.805303086,0.074190903,0.15339877,-5.727244799
5195,-0.143511025,4.859777638,-0.994926255,0.32229641,0.46275218,-6.804593926
54897,-0.581745722,7.406850738,-3.498292147,0.000713922,0.003800928,-1.618048508
148345,0.778615826,0.189157829,2.63955296,0.009701803,0.031116812,-3.217490023
23435,-0.033431239,7.053283958,-0.392252123,0.69574947,0.795850892,-7.341092173
10747,0.486817801,1.644724915,2.410227372,0.017865435,0.050335545,-3.933497264
6723,-0.545229299,5.404966833,-4.02362681,0.000114983,0.000875653,0.185266147
5394,-0.257398525,6.200835265,-4.090052692,9.03E-05,0.000721523,0.346486559
2475,-0.090704059,7.265192143,-1.173443879,0.243547807,0.376608924,-6.726821999
