Entrez_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
10221,-1.825632372,6.540833703,-8.201573752,1.12E-12,1.60E-08,18.45455218
114821,-1.341034541,2.661315838,-7.855281216,6.03E-12,4.30E-08,16.22433857
84872,-1.055295924,2.7334029,-7.670031853,1.47E-11,5.26E-08,15.36901812
57547,-1.447271356,1.953625452,-7.682170054,1.39E-11,5.26E-08,15.12366774
4800,-0.783046255,4.914151512,-7.351552183,6.78E-11,1.94E-07,14.48395262
4091,-0.89563693,6.397947455,-6.989048105,3.78E-10,7.49E-07,12.87542577
5193,-1.051664325,3.418314461,-6.95728847,4.39E-10,7.49E-07,12.5055218
5514,-1.512633012,6.132793667,-7.004647399,3.51E-10,7.49E-07,12.93730583
4899,-0.827091505,3.538530689,-6.941915649,4.72E-10,7.49E-07,12.51487035
84132,-0.577820588,4.52183191,-6.772859855,1.04E-09,1.49E-06,11.87206015
3280,-0.98407298,5.869389128,-6.714998165,1.36E-09,1.77E-06,11.64367629
79637,-0.849596059,3.486319129,-6.495438487,3.76E-09,4.44E-06,10.55050278
23506,-0.62585473,4.132455446,-6.480200685,4.04E-09,4.44E-06,10.56540629
9304,1.746944065,0.654914212,6.429510253,5.10E-09,5.01E-06,9.700327894
284406,-1.182436039,2.53278708,-6.422466182,5.26E-09,5.01E-06,10.0578867
157638,-1.089962936,7.660767743,-6.386781044,6.20E-09,5.53E-06,10.19012553
286827,-0.80004214,3.600686554,-6.289497646,9.66E-09,8.11E-06,9.74082655
10140,-0.716267219,5.753590582,-6.192537758,1.50E-08,1.19E-05,9.356037379
29998,-0.857559961,4.038911852,-6.155508044,1.77E-08,1.33E-05,9.164218586
7716,-0.61509641,5.457974407,-6.116245755,2.11E-08,1.51E-05,9.027666138
54971,-0.877970394,3.955713492,-6.090672637,2.37E-08,1.61E-05,8.87565886
65997,-1.005242887,5.313226553,-6.059486269,2.73E-08,1.77E-05,8.78845354
3491,-1.818122412,8.181464143,-6.02711019,3.15E-08,1.95E-05,8.634490816
8870,-1.420541454,7.015201775,-6.018339511,3.28E-08,1.95E-05,8.59576503
57459,-0.561326917,5.708634991,-5.970532044,4.06E-08,2.31E-05,8.40172953
85406,-0.490069419,5.408826336,-5.953729746,4.38E-08,2.31E-05,8.3351429
25888,-0.769321857,2.790705331,-5.959281369,4.27E-08,2.31E-05,8.253511383
283219,-0.935286862,3.557335927,-5.847459447,7.01E-08,3.58E-05,7.855385211
22822,-1.255465769,7.642400247,-5.812717324,8.17E-08,4.02E-05,7.718801259
23394,-0.592049144,7.059112054,-5.804716501,8.47E-08,4.03E-05,7.682361937
23211,-0.755830545,5.40548008,-5.783934599,9.28E-08,4.27E-05,7.626218338
8325,-1.055650056,7.498961117,-5.772046747,9.77E-08,4.36E-05,7.547144521
8603,-0.65739081,5.446237022,-5.738962676,1.13E-07,4.89E-05,7.434572425
55904,-0.566456167,6.075779218,-5.692807364,1.38E-07,5.81E-05,7.224840983
80314,-0.47862436,5.058503485,-5.682213054,1.45E-07,5.91E-05,7.201974827
8690,-0.786085709,3.638504819,-5.659787108,1.60E-07,6.34E-05,7.091272578
162239,-0.693216655,3.296981721,-5.651683945,1.65E-07,6.39E-05,7.049359668
90321,-0.584651539,3.652382254,-5.610516936,1.98E-07,7.44E-05,6.905081113
7733,-0.676626409,3.013453936,-5.58202602,2.24E-07,7.99E-05,6.735938672
221937,-0.664658333,6.453976317,-5.585034348,2.21E-07,7.99E-05,6.770845607
5629,-0.864772912,5.972703134,-5.56064741,2.46E-07,8.43E-05,6.690168599
152485,-0.411754214,5.947564876,-5.558344232,2.48E-07,8.43E-05,6.671035351
65243,-1.25087844,0.897588205,-5.542506092,2.66E-07,8.62E-05,6.123193142
10336,-0.527774483,6.154002161,-5.543997296,2.64E-07,8.62E-05,6.604385457
57645,-0.560231917,5.749031812,-5.529532677,2.81E-07,8.91E-05,6.555294866
23642,1.246259354,5.789868232,5.521806982,2.90E-07,9.02E-05,6.515407595
57522,-0.681435287,4.604772454,-5.514865976,2.99E-07,9.09E-05,6.526227167
170082,-0.94352579,1.451432652,-5.50359364,3.14E-07,9.34E-05,6.135477069
1316,-1.119902537,6.422345199,-5.497116815,3.23E-07,9.41E-05,6.418383487
359948,-0.820051616,6.795258101,-5.432244575,4.27E-07,0.000119438,6.147794192
339324,-1.023340268,4.418677941,-5.433292894,4.25E-07,0.000119438,6.199270886
92595,-0.779308603,4.044029132,-5.404773961,4.80E-07,0.000131723,6.085566536
378884,-1.886801532,0.948010471,-5.397817016,4.94E-07,0.00013313,5.525576694
27327,-0.42220466,6.288908741,-5.377020844,5.40E-07,0.000142766,5.917855724
4092,-0.95236183,5.598101933,-5.368810785,5.59E-07,0.000145152,5.922025428
6843,0.891287374,3.171930595,5.305840007,7.30E-07,0.000186192,5.689831159
51742,-0.608813017,5.919007863,-5.286728689,7.92E-07,0.000198307,5.573003629
85446,-0.984928204,4.657333244,-5.269705885,8.51E-07,0.000209394,5.535887859
162962,-0.79134193,1.417111979,-5.219231145,1.05E-06,0.000254509,5.131660794
9530,-0.606894874,3.964531108,-5.191249679,1.18E-06,0.00028139,5.243141874
2049,-0.971126924,8.575357352,-5.172405149,1.28E-06,0.000299457,5.108041781
54925,-0.554975418,3.488406186,-5.167385669,1.31E-06,0.000300866,5.146299879
200765,-0.988539047,2.699290862,-5.145421597,1.43E-06,0.00031523,5.003746587
51735,-0.582690081,4.219618797,-5.149796245,1.41E-06,0.00031523,5.076640862
2626,-0.638707371,8.68232504,-5.144865733,1.43E-06,0.00031523,5.001109281
54826,-0.642137431,2.760648768,-5.139200682,1.47E-06,0.000317863,4.996108271
57507,-0.860216316,5.674364683,-5.124170551,1.56E-06,0.000333318,4.929585099
148022,-1.474695789,1.944947069,-5.094599483,1.77E-06,0.000371298,4.715796968
54453,-0.626437159,5.872663992,-5.041595272,2.20E-06,0.000449028,4.599327152
2033,-0.52171962,7.082773432,-5.041962052,2.20E-06,0.000449028,4.574502386
10370,-0.597293589,7.003048384,-5.026270392,2.34E-06,0.000471548,4.513729303
9709,-0.722422175,5.961717806,-4.964294782,3.02E-06,0.000599613,4.288356899
9891,-0.732332555,6.957197996,-4.952540518,3.17E-06,0.000613004,4.227001507
64332,-0.861131457,4.577072226,-4.949305146,3.21E-06,0.000613004,4.302622002
55665,-0.441570788,5.570789476,-4.948898347,3.22E-06,0.000613004,4.248094978
1385,-0.489083382,5.380655307,-4.931395759,3.46E-06,0.000641266,4.187946809
132430,-0.992784198,2.985470724,-4.931743859,3.45E-06,0.000641266,4.230558476
7561,-0.822098358,2.293429982,-4.905345501,3.84E-06,0.000703838,4.099016158
606553,-0.962289574,3.670720853,-4.900308498,3.92E-06,0.000709295,4.130929246
55626,-0.463229822,5.476640619,-4.890482912,4.08E-06,0.000712347,4.030198738
10743,-0.648892745,6.325849768,-4.894979084,4.01E-06,0.000712347,4.018227059
22882,-0.502156313,5.419968468,-4.890068883,4.09E-06,0.000712347,4.034714021
57479,-0.638787793,5.580174321,-4.875457327,4.34E-06,0.000746709,3.968946486
7770,-0.488340514,3.454855513,-4.86927792,4.45E-06,0.000756514,4.01523405
23768,-0.8039242,7.926764647,-4.855410661,4.71E-06,0.000790746,3.85704972
57018,0.717333236,6.193760522,4.832187869,5.17E-06,0.000848491,3.766372969
79943,-0.479842549,3.584801576,-4.833958631,5.13E-06,0.000848491,3.882906547
3725,-0.846673296,7.293410297,-4.807533636,5.71E-06,0.00092638,3.669851209
90317,-0.716289471,2.966129483,-4.801280777,5.85E-06,0.00093928,3.743929393
3212,-0.815552092,4.617671261,-4.768243556,6.68E-06,0.00106042,3.607849059
25973,-0.606500093,2.918926762,-4.759355763,6.93E-06,0.001063357,3.599644445
80095,-0.677927292,3.797663874,-4.761160789,6.88E-06,0.001063357,3.611468648
54880,-0.798420494,6.612928336,-4.763229549,6.82E-06,0.001063357,3.50638925
835,-0.416853852,4.418399957,-4.748117145,7.24E-06,0.001100368,3.534920543
25976,-0.749073314,6.583101489,-4.737027594,7.57E-06,0.001138052,3.404767452
10395,-0.753106942,7.557670443,-4.716248351,8.23E-06,0.001223384,3.325647166
6310,-0.560015552,6.415524947,-4.706079151,8.56E-06,0.001254033,3.287722693
7738,-0.759866562,2.971982728,-4.704839206,8.61E-06,0.001254033,3.406441043
2736,-1.192376438,4.321481531,-4.697846126,8.85E-06,0.001276328,3.364377434
9880,-0.665198299,3.655160162,-4.68861537,9.18E-06,0.001310704,3.34271779
9298,1.208482729,0.85376669,4.677564534,9.59E-06,0.001355828,3.190747877
51193,-0.612933694,4.540982278,-4.673424711,9.75E-06,0.001363023,3.249850688
1906,-1.485143128,4.773135294,-4.671275036,9.83E-06,0.001363023,3.258031024
222255,-0.815509926,2.447773937,-4.660413184,1.03E-05,0.001409175,3.224986516
84167,-0.789535814,2.394999441,-4.6494326,1.07E-05,0.001457627,3.17303829
3741,-1.341221555,5.812263621,-4.642458652,1.10E-05,0.00147029,3.090494695
133957,-0.538178911,4.461650385,-4.643454743,1.10E-05,0.00147029,3.150202354
6907,-0.47135049,4.510528203,-4.631252176,1.15E-05,0.001522462,3.093600987
2643,1.554132231,2.006505301,4.625816437,1.18E-05,0.00154113,3.095168555
84307,-0.699717564,3.718716282,-4.60593602,1.27E-05,0.001651273,3.046069119
92806,-0.644076926,3.834723681,-4.596521486,1.32E-05,0.001697991,3.008857351
55628,-0.599406176,4.775580946,-4.593298844,1.34E-05,0.001704233,2.948905875
54438,-0.550585965,6.944436176,-4.588119877,1.36E-05,0.00170867,2.844368173
493812,-0.563463904,3.251718897,-4.590189974,1.35E-05,0.00170867,2.992142682
127428,-0.567248091,3.048104529,-4.572295173,1.45E-05,0.001802058,2.929082763
56907,-0.381358344,5.583954469,-4.55146381,1.57E-05,0.001921394,2.740031874
286336,-0.862039044,7.342842251,-4.553250156,1.56E-05,0.001921394,2.71632476
51421,-0.697195381,7.400131575,-4.543280779,1.63E-05,0.001966871,2.67907319
100506472,-1.206466754,0.944067051,-4.533079299,1.69E-05,0.002029386,2.595784838
10560,0.663806442,4.662033478,4.528689923,1.72E-05,0.002047139,2.704497909
84078,-0.669416162,3.357561289,-4.518547462,1.79E-05,0.00206077,2.738551883
284309,-0.74800154,4.462230085,-4.520551841,1.78E-05,0.00206077,2.693045362
29072,-0.448300118,6.624934388,-4.520435906,1.78E-05,0.00206077,2.59542216
56995,-0.428650984,5.109214592,-4.523798625,1.75E-05,0.00206077,2.680187588
10769,-0.848819954,7.448971721,-4.496792585,1.95E-05,0.002224306,2.509522669
1106,-0.577407194,6.314996433,-4.488168541,2.01E-05,0.002281582,2.482128181
26148,-0.739799227,2.522808631,-4.48333797,2.05E-05,0.002306317,2.607948737
23268,-0.583028422,5.091053627,-4.472191244,2.14E-05,0.002354069,2.48742217
23361,-0.405429361,6.226759307,-4.470009642,2.16E-05,0.002354069,2.421692737
9113,-0.392174259,4.653876676,-4.47065253,2.15E-05,0.002354069,2.507995763
673,-0.350970903,4.75755037,-4.471713518,2.15E-05,0.002354069,2.496746922
388341,-0.556309078,3.724967309,-4.467109878,2.18E-05,0.002362534,2.539673278
