Entrez_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
57553,-1.337098727,8.068319275,-11.27109058,3.23E-19,1.60E-17,33.13900246
55670,0.40466357,5.40543918,4.945464862,3.27E-06,8.75E-06,3.608810131
51807,-1.064287646,0.969076943,-4.035121504,0.000110284,0.000233192,0.873524978
11274,-0.066298075,0.737740002,-0.305151944,0.760917164,0.79533974,-6.526322723
728229,1.454621109,0.790494498,5.207866088,1.10E-06,3.20E-06,5.206262789
728233,0.590266722,4.300133264,3.253808184,0.001577121,0.002775073,-2.165019932
85376,1.070505674,-0.008024486,3.740546767,0.000313841,0.000619506,-0.057985893
8214,-0.175293585,4.224672467,-1.018445728,0.311049617,0.363024968,-6.630203689
5625,1.569731803,2.588860071,5.373603426,5.48E-07,1.67E-06,5.679213396
9993,-0.126927868,7.577939356,-1.07225469,0.286318581,0.336599952,-6.820918323
25786,-0.960071628,1.772462178,-6.069173844,2.61E-08,9.92E-08,8.768474949
8220,-0.613589583,4.058872146,-5.151876801,1.39E-06,3.96E-06,4.637128727
100652736,0.291178813,0.618564833,1.239171075,0.218331066,0.263640532,-5.776803913
6576,0.09280699,5.683045153,0.648463495,0.518247648,0.570375996,-7.142551328
8218,-0.19631026,3.538905239,-1.771268394,0.079718975,0.10538906,-5.497417583
7290,0.357362912,5.746706093,3.310192065,0.001318098,0.002349035,-2.156537675
64976,-0.170330085,4.086457232,-1.858043134,0.066255914,0.08887442,-5.452775375
128977,-0.888052926,4.666955719,-6.007872254,3.44E-08,1.28E-07,8.17083974
7353,0.186693671,5.101559034,2.194272814,0.030650847,0.043726991,-4.938109628
8318,-1.986440988,1.719756317,-6.911469575,5.45E-10,2.81E-09,12.49538117
5413,-0.636249788,0.258358588,-2.656739759,0.009253769,0.014401588,-3.083311139
100526833,-0.580084576,3.795657638,-3.351831632,0.001153018,0.002071458,-1.749062353
54584,0.915449829,1.062520462,4.689340058,9.15E-06,2.29E-05,3.115186121
79680,1.281146098,4.836209389,8.409652457,4.06E-13,3.94E-12,19.26225269
10587,-0.471244481,4.798125935,-3.671867185,0.000397615,0.00077151,-0.875508968
1312,-0.560190098,5.430916489,-3.619966919,0.00047457,0.000909337,-1.127432827
421,0.54283774,6.704853758,5.414069959,4.61E-07,1.42E-06,5.453061221
128989,0.841767254,4.562624836,5.289557332,7.82E-07,2.32E-06,5.069104616
54487,-0.462837544,5.457311254,-4.517723278,1.80E-05,4.29E-05,1.981115787
27037,-0.107058224,5.073831062,-0.845426487,0.3999944,0.454196424,-6.926329593
5902,-0.835822831,4.991857103,-7.716819972,1.18E-11,8.38E-11,15.96837631
29801,-0.547424771,6.119766941,-5.000222991,2.61E-06,7.11E-06,3.798835694
65078,-0.481038899,2.836926938,-1.199020996,0.233498263,0.280060621,-6.161499509
85359,-0.317175914,4.62170415,-2.788314357,0.006399029,0.010220551,-3.451688548
7625,-0.761230182,3.75380869,-6.087884008,2.40E-08,9.17E-08,8.627672771
91179,0.296014406,6.035301759,1.924227166,0.057315155,0.07784677,-5.561107396
84861,0.252627655,4.863043143,2.454457619,0.015927946,0.023825177,-4.347415145
51586,0.343021103,6.582108667,2.866503117,0.005109964,0.008299042,-3.438366031
84222,1.258308525,0.572010375,5.638951113,1.75E-07,5.77E-07,6.977116386
5297,0.169382627,6.972645776,2.045128174,0.043604256,0.060596124,-5.345954539
3053,2.67853513,0.717130989,5.430502435,4.30E-07,1.33E-06,6.093844635
9342,-0.030901568,5.478864165,-0.375010883,0.708487236,0.748150366,-7.275347601
1399,0.569871267,6.22466362,5.950507752,4.44E-08,1.62E-07,7.743401335
8216,-0.353207414,6.148948129,-3.853615817,0.000211311,0.000427744,-0.435377208
80764,0.216962999,3.599775123,2.154046237,0.033763456,0.0478472,-4.818961992
439931,1.059130486,1.403877873,5.679878014,1.46E-07,4.89E-07,7.074736133
9127,-1.23448057,0.012902208,-2.653917609,0.009326027,0.014504558,-3.051655378
6545,-1.538752951,0.305751009,-3.232214757,0.001688373,0.002954446,-1.542643344
728441,-0.611930436,0.867281249,-2.963694894,0.003840813,0.006347565,-2.3612221
440804,0.660047835,-0.002629814,2.278838509,0.024913174,0.036069809,-4.025293868
23119,1.30530475,4.700710393,7.33380859,7.38E-11,4.51E-10,14.13876594
645426,1.618856588,0.515414047,6.705857797,1.42E-09,6.81E-09,11.60078176
375133,0.683461523,4.304182387,4.044503232,0.000106586,0.000226175,0.369740559
7332,-0.023186274,6.141818116,-0.285366794,0.775983608,0.808247861,-7.349018535
150223,-0.075120346,3.5632269,-0.54312768,0.588312411,0.63853093,-6.919517688
23753,-0.616470401,4.281183463,-4.408248179,2.74E-05,6.36E-05,1.726360858
23759,-0.766776543,5.451946028,-6.046029252,2.90E-08,1.09E-07,8.248665656
29799,0.472950118,4.151144269,2.006904202,0.047598195,0.065597397,-5.217272847
5594,0.222370497,7.503280716,2.658766028,0.009202203,0.014330707,-3.962097639
9647,0.350729038,5.194796129,2.275326638,0.025131195,0.036361165,-4.77866983
8940,-0.534614091,4.68065343,-3.253937465,0.001576476,0.00277428,-2.163313392
96610,0.205313121,3.780914565,1.960924674,0.052812573,0.072209406,-5.217661936
140883,-1.433357459,2.493691185,-6.333523565,7.90E-09,3.27E-08,9.881390179
91227,0.355153565,0.082554743,1.315936029,0.19135817,0.234179234,-5.595541748
2781,0.219940025,0.418494076,0.696256205,0.487966265,0.541094222,-6.313737028
9609,-0.425475103,0.316175681,-2.049782414,0.043138161,0.05999511,-4.455063539
613,-0.129969303,6.093831707,-1.436827631,0.154048146,0.192479303,-6.359904481
26226,0.367975548,0.322432416,2.034818943,0.044652072,0.061955781,-4.516657086
91316,-0.063328457,3.683885443,-0.416548962,0.677946817,0.721126535,-6.983846449
266747,-0.800255248,2.950814289,-4.637568818,1.12E-05,2.76E-05,2.804653629
7621,-0.732878342,2.17400158,-2.999476743,0.003451978,0.005759617,-2.50153276
400916,-1.336975977,6.75928647,-7.726891286,1.12E-11,8.02E-11,15.92363662
4320,0.128393034,6.50520928,0.842975986,0.401356641,0.45556212,-7.050366365
6598,-0.719072618,6.12239077,-3.818367843,0.000239233,0.000480248,-0.542616212
91319,-1.209519826,3.737793668,-5.40841843,4.72E-07,1.45E-06,5.762171548
66035,-0.173270991,5.208044255,-1.793970213,0.0759952,0.10084902,-5.701707739
284889,1.247504108,0.061430773,3.743168439,0.000311002,0.000614388,-0.064601299
653689,0.046865294,1.517215078,0.198977603,0.842704967,0.866608799,-6.684107704
100037417,-0.643635377,4.49118642,-5.445028541,4.04E-07,1.25E-06,5.786021943
1652,-0.528963587,4.41838343,-3.803963499,0.000251627,0.000503995,-0.397412212
2953,-0.016423651,1.134723652,-0.071928594,0.942809759,0.952751631,-6.634825323
23523,-0.527952857,6.327661724,-5.61366578,1.95E-07,6.37E-07,6.306132
56241,-0.510358913,1.161723804,-1.996254615,0.048765111,0.067076103,-4.674983896
23384,0.240404279,5.574858661,2.081390446,0.040084566,0.056018647,-5.229323024
83606,0.827748952,5.904677031,5.357331869,5.87E-07,1.78E-06,5.23321325
6634,0.127461835,6.220953976,1.503736482,0.135962336,0.171821064,-6.271487881
2678,0.33914875,3.166560314,1.760643355,0.081512871,0.107551495,-5.442125209
388886,-0.247485224,2.495771164,-1.452551195,0.149639268,0.187479082,-5.783716012
85379,-0.035549791,6.222901415,-0.208765726,0.83507754,0.859826377,-7.367207432
91355,-0.064585458,0.558297787,-0.29270567,0.770384695,0.803458944,-6.492401301
1416,-1.248658673,2.922630656,-5.629543634,1.82E-07,5.98E-07,6.796044944
157,-0.039111743,3.56072744,-0.303659973,0.76205018,0.796290854,-7.025437902
84700,-1.670866387,8.838518733,-9.670963787,8.25E-16,1.52E-14,25.35860535
57168,0.729638506,1.012097591,3.54273573,0.000615641,0.001156219,-0.810077767
89781,0.090521741,4.352145707,0.763946168,0.44679019,0.500762726,-6.899350375
402055,-0.404082979,3.253961005,-2.298340257,0.023732501,0.034477199,-4.429580958
24144,0.861891889,5.604939949,9.176642077,9.41E-15,1.34E-13,22.94135024
8459,0.344331397,4.407444676,2.289237264,0.024277336,0.035200658,-4.652106425
4330,0.238708208,6.517116745,1.121954798,0.264705907,0.313957608,-6.777470412
23760,0.008876446,6.315225038,0.125326574,0.900529515,0.916511828,-7.392765271
284900,-0.151049777,3.370680245,-1.223607616,0.224122753,0.269994836,-6.287787019
23331,-1.985290505,5.791040416,-10.8177009,2.95E-18,1.11E-16,31.00278898
11200,-1.524129847,2.41034412,-8.648223632,1.26E-13,1.38E-12,20.62480797
150274,0.248660906,2.906257656,1.938219788,0.055561467,0.075688055,-5.131417369
150275,0.642599853,5.335721431,5.023845012,2.37E-06,6.49E-06,3.915232714
7494,-0.850315216,6.601732785,-7.776915341,8.80E-12,6.43E-11,16.14673378
84133,0.504152794,4.877706202,3.162531197,0.002099418,0.003617424,-2.511955204
83999,1.558016449,4.259840077,8.478273846,2.90E-13,2.92E-12,19.64550949
129080,0.10165932,0.753535375,0.367373204,0.714156767,0.75324601,-6.504677128
25807,1.565403742,5.458121032,12.16495887,4.31E-21,4.43E-19,37.44939467
2130,-0.285939091,7.439282285,-4.076245643,9.49E-05,0.000203201,0.304429847
10634,-0.143961747,4.982363669,-1.172406707,0.24396174,0.291484369,-6.589791283
10633,0.66560933,0.428752364,2.31748958,0.022621428,0.032967072,-3.930631727
162,0.189992348,6.82020286,1.964810107,0.052353923,0.071639834,-5.502230406
4744,2.968191196,2.30836254,12.08612545,6.29E-21,6.20E-19,37.11216685
8563,-0.202311275,5.492659814,-3.224162283,0.001731706,0.003025454,-2.363160082
8508,-0.932358493,6.205259711,-6.013207265,3.36E-08,1.25E-07,8.055030388
4771,-0.411622533,5.735056217,-5.758414131,1.04E-07,3.57E-07,6.953521048
55954,1.138372595,3.564955768,8.478084079,2.91E-13,2.92E-12,19.70335227
29796,-0.24824818,6.187995084,-1.996807487,0.048703936,0.06699841,-5.41904779
84164,-0.339194065,6.083757632,-1.979382671,0.050663752,0.069500213,-5.442580169
8897,-0.243123576,6.101922979,-2.12439073,0.036230614,0.051000023,-5.160624797
3976,1.975094363,4.549213026,6.992127856,3.73E-10,1.99E-09,12.58953302
652968,0.003055864,2.236790665,0.014152585,0.98873789,0.990958681,-6.851593094
83874,0.413919838,3.707451575,3.512157819,0.000681773,0.001268574,-1.276224021
10291,-0.071764689,6.908911331,-0.808958889,0.420557636,0.475278393,-7.079196978
550631,1.140497235,0.861948933,6.64304856,1.90E-09,8.90E-09,11.304588
85371,-0.150227185,1.976766427,-0.963415246,0.337782065,0.390668241,-6.321156458
200312,-0.328240969,4.356283978,-2.70149313,0.008173771,0.012824226,-3.642401578
23541,1.455520329,2.357797762,7.367311286,6.29E-11,3.90E-10,14.51873601
51537,-0.330856953,3.826314626,-1.211221908,0.22881101,0.275016196,-6.364532336
23481,0.284259734,5.958104021,2.469350238,0.015319134,0.022969854,-4.405402646
6948,0.843799606,3.874679555,5.172483256,1.28E-06,3.66E-06,4.684095587
339665,0.020589982,3.828952944,0.110343893,0.912369129,0.92717378,-7.10998357
150290,0.266343529,2.380968268,1.939246461,0.055434603,0.075536854,-5.003197328
23762,-1.000420255,5.723835433,-8.561615752,1.93E-13,2.04E-12,19.97659812
22880,0.073464286,6.112418716,0.778261708,0.438346398,0.492444227,-7.088583859
55000,0.354999076,8.089594995,4.33431248,3.63E-05,8.27E-05,1.257117426
6525,-0.033953034,6.219395146,-0.238691781,0.811858087,0.83997693,-7.35898625
140606,-1.18251669,4.440069021,-6.089454024,2.39E-08,9.11E-08,8.584428031
27124,-2.116122949,4.829979691,-9.29178585,5.34E-15,8.07E-14,23.66422753
91445,0.820254819,5.260929747,6.560986396,2.78E-09,1.26E-08,10.51465203
3985,1.339972533,6.140618104,4.632648944,1.15E-05,2.81E-05,2.353866698
113791,-0.120915042,5.273059061,-0.71759107,0.474768107,0.528017275,-7.042980803
23598,-0.421482996,5.171773084,-3.077615013,0.002726058,0.004615293,-2.760538144
54944,0.320943092,3.878066398,2.830018533,0.005678512,0.009143377,-3.297964994
4733,-0.690357412,5.632490035,-4.386557902,2.98E-05,6.88E-05,1.489412465
56478,0.130174142,5.411778248,1.469618778,0.144964897,0.182150102,-6.265580506
9814,0.475819871,3.029388958,3.675201108,0.0003931,0.000763683,-0.679211713
23761,0.873277599,5.303049941,7.611631135,1.95E-11,1.33E-10,15.40695338
253143,0.724778585,5.731319318,5.83525257,7.40E-08,2.61E-07,7.26288951
9681,0.341329015,3.927682523,3.389335912,0.001021139,0.001847079,-1.723895851
7533,-0.303960426,6.692013714,-3.823840387,0.000234678,0.000471901,-0.560423135
6523,-4.814427296,6.780803725,-13.66311893,3.68E-24,1.00E-21,44.46083945
51493,0.265955696,6.562345098,4.286085703,4.36E-05,9.79E-05,1.047459712
25793,0.071957047,6.168311395,0.976127736,0.331477167,0.384154083,-6.914151653
7078,-1.994798295,10.08849791,-10.65717096,6.47E-18,2.16E-16,30.20262831
9215,0.182317538,5.979957689,1.511877436,0.133880371,0.169369878,-6.254285012
10042,-0.086125947,4.432584001,-0.877719424,0.382307603,0.435745574,-6.836147805
10043,0.629742609,5.893841395,5.032516325,2.29E-06,6.28E-06,3.913223989
3162,2.362498224,0.901909017,7.107894159,2.16E-10,1.20E-09,13.40422964
4174,-1.855427169,4.664253765,-6.816148623,8.51E-10,4.24E-09,11.80324433
23551,-1.227832279,2.384497709,-5.222548461,1.04E-06,3.02E-06,5.1517228
4151,-1.342753564,6.601819814,-4.806095983,5.74E-06,1.48E-05,3.023432645
23543,-0.442029656,8.045502573,-4.97430879,2.90E-06,7.83E-06,3.678946572
23780,-1.323098259,5.04343107,-5.915683024,5.18E-08,1.87E-07,7.749556137
4627,-0.480410646,10.242881,-2.812617052,0.005969607,0.009589382,-3.448672955
25828,0.391010684,5.592318049,4.038462988,0.000108953,0.000230685,0.211911625
80020,-1.049865842,4.854277116,-8.056995078,2.27E-12,1.88E-11,17.61074073
8664,-0.091825256,7.367990053,-1.080988764,0.282435215,0.332472583,-6.819372456
11020,-0.406453117,3.929438958,-2.925843862,0.004295827,0.007048967,-2.984585666
7263,1.170781651,4.250254005,7.246971575,1.12E-10,6.58E-10,13.77595746
4357,-0.963390295,4.924687424,-4.846688807,4.88E-06,1.27E-05,3.317263903
79734,-1.356889151,5.750892236,-8.484362258,2.82E-13,2.85E-12,19.6304653
114904,-0.347550791,3.569512492,-2.080980871,0.040122911,0.05606371,-4.943793557
5880,0.062524976,1.137992391,0.237813867,0.812536975,0.840557521,-6.595351474
114794,2.457055364,0.234957556,7.608863733,1.98E-11,1.34E-10,15.71758758
29775,1.488958914,2.776833292,6.991896,3.73E-10,1.99E-09,12.76533322
11135,0.362992141,5.179199772,2.05144506,0.042972696,0.059811592,-5.225895095
26088,-0.003127381,5.608863544,-0.0348977,0.972234444,0.977024113,-7.347600692
23616,1.399827754,1.729708636,7.489302538,3.51E-11,2.28E-10,15.13383566
57026,-0.198958559,5.703696289,-1.369312987,0.174125903,0.215044436,-6.416549293
3956,-2.082224291,4.305513489,-8.095721062,1.88E-12,1.58E-11,17.90215046
79159,-0.26575497,3.398634502,-2.501985624,0.01405721,0.021225436,-3.975630523
11078,-0.439037703,7.475591158,-4.34836101,3.44E-05,7.88E-05,1.275046723
3005,1.158636818,6.799310844,3.524096052,0.000655193,0.001222941,-1.522689928
23464,-0.6813489,4.609811835,-4.719405912,8.12E-06,2.05E-05,2.833396346
129138,0.330087466,4.295016877,3.533934041,0.000634027,0.001187627,-1.312297558
51386,-0.055028946,7.472531271,-0.761918188,0.44799392,0.501760599,-7.108264675
85377,1.26754375,6.323167521,5.629511292,1.82E-07,5.98E-07,6.368860607
84645,1.645567627,4.794208498,6.229322985,1.27E-08,5.08E-08,9.065727017
5435,0.184101269,4.915113362,1.839312336,0.068988674,0.092280025,-5.608670348
9463,-0.398412983,5.42820757,-2.306077276,0.023277924,0.033882312,-4.699643662
23539,0.368047235,0.792727657,1.409344415,0.161994368,0.201491079,-5.552305287
80115,1.212802867,1.020128749,5.981374733,3.87E-08,1.43E-07,8.399511436
8398,1.175520094,4.209920363,7.781746683,8.60E-12,6.30E-11,16.31100987
23764,2.755973091,3.039680757,10.29160179,3.89E-17,1.02E-15,28.5361924
25829,-0.295950818,6.726773867,-3.703200719,0.000357055,0.000697358,-0.958546488
1454,-0.217264604,2.430332672,-0.974704267,0.332179284,0.384749189,-6.395420498
102800317,1.383605267,0.97848471,6.876611077,6.41E-10,3.27E-09,12.35661543
400927,0.690946194,0.62350571,3.282517929,0.0014398,0.002550733,-1.503353226
3761,-0.474351201,5.598399208,-2.52006904,0.013398841,0.020301575,-4.228488643
11015,-1.379040051,4.724005962,-7.982097613,3.26E-12,2.62E-11,17.29184837
10521,-0.88006096,8.627383236,-5.240142538,9.63E-07,2.82E-06,4.774193785
11144,-1.389481449,0.128357043,-3.892009998,0.000184441,0.000377204,0.493621539
646851,-0.073924851,1.927309538,-0.397240972,0.692079742,0.733754623,-6.711945067
25776,-0.501868493,4.158348297,-4.142143781,7.45E-05,0.000161984,0.774771747
56993,0.220177533,5.702553722,2.49416433,0.01435084,0.021631548,-4.334364275
9929,0.472302164,5.441124589,6.282119054,9.99E-09,4.05E-08,9.250335503
9567,1.10969043,6.297793578,9.289001578,5.41E-15,8.16E-14,23.4708895
25777,-0.422471112,6.64992576,-3.348498012,0.001165484,0.00209201,-2.067486325
10126,0.318764199,3.337654964,3.15429736,0.002153719,0.003705622,-2.306553756
23467,-0.441194873,7.485494443,-3.529516653,0.00064345,0.001203539,-1.510288904
23466,-0.047820766,7.346330723,-0.514476378,0.6081123,0.657074198,-7.269350478
9582,-0.46863779,1.110670749,-1.830574222,0.070295357,0.093860801,-4.943274992
27350,1.379637592,5.044758714,4.390313156,2.93E-05,6.78E-05,1.522108169
200316,0.208939041,2.185503558,1.136064656,0.258783743,0.307623466,-6.190288122
60489,0.620174856,-0.093954849,2.216917387,0.029011219,0.041516456,-4.098198025
23492,-0.340087785,3.228839026,-2.298409613,0.023728392,0.034474736,-4.420763633
5155,2.686052459,3.848292634,8.356988613,5.26E-13,4.98E-12,19.1199982
6122,-0.672589832,8.849642739,-5.388361943,5.14E-07,1.57E-06,5.389614486
9145,-1.304214307,4.199027522,-7.388394242,5.69E-11,3.56E-10,14.54904757
10454,-0.780252285,5.141545152,-5.795021886,8.84E-08,3.08E-07,7.183868645
