"Gene","Importance"
"X1",3.52803180459462
"X2",4.58066577991966
"X3",1.20616375152626
"X4",0.541353243187657
"X5",1.37489951565036
"X6",2.52056871315727
"X7",0.767182933663745
"X8",2.77571120186791
"X9",3.29120426918478
"X10",2.66532978390934
"X11",0.739451531617504
"X12",2.91569319491468
"X13",0.999789523212983
"X14",1.88069932813614
"X15",2.00196213763137
"X16",1.0540143874036
"X17",1.95479810180375
"X18",2.43009310851669
"X19",3.4231431814313
"X20",3.55374850283031
"X21",1.70375045675368
"X22",3.50458290756614
"X24",3.02560118534319
"X25",4.43818878758715
"X26",2.9352333597812
"X27",3.7677710291625
"X28",3.47651453869057
"X29",1.30025599243224
"X31",0.679914891114643
"X32",1.01506245902848
"X34",2.02227262024704
"X35",1.98386499644309
