"Gene","Importance"
"X1",2.39373592541744
"X2",1.05592322466228
"X3",2.36258102416954
"X4",1.37845246392288
"X5",2.54814030155
"X6",1.84442176011973
"X7",1.29487584779311
"X8",0.779506635610337
"X9",3.8071598968605
"X10",4.86955354667039
"X11",1.10731673536937
"X13",2.23719726978362
"X14",2.61700551457901
"X15",3.10355482561143
"X16",5.50249863380182
"X17",1.14638903850689
"X18",3.28669082560905
"X19",0.9825833468019
"X20",2.81812049699606
"X21",2.28502466280226
"X23",3.57988318337415
"X24",1.12567740775396
"X25",0.538215954740355
"X26",2.4627022710736
"X27",3.63870225050935
"X28",4.05616947902872
"X29",0.0265623856795757
"X31",2.41573020571857
"X32",1.87200385321898
"X33",2.73245241725161
"X34",4.09970847280228
"X35",1.87773910509257
"X36",1.13113333491663
