Symbol,logFC
LOC100910245,-5.292727516
LOC100910755,-9.165421113
LOC100910979,1.043317887
LOC100911104,2.190568986
LOC100911319,1.626404239
LOC100912373,-1.538642828
LOC100912399,-10.54063039
LOC100912489,-2.23231489
LOC100912509,3.258290477
LOC100912564,1.931930659
LOC102546889,8.590457468
LOC102548326,4.170003544
LOC102553138,-2.338221583
LOC103689977,11.44776548
LOC103690016,3.724250191
LOC103690019,-1.165145773
LOC103690149,8.76736353
LOC103694853,1.360115555
LOC108348070,6.360306973
LOC108348106,1.12499251
LOC299282,2.024184939
LOC361016,-1.720632305
LOC684773,1.348483762
LOC686087,-1.957658736
LOC688459,-1.29798338
LOC690468,1.205824097
Lrrtm2,-5.916170943
Ltk,3.009672141
Mad2l1,-1.691252005
Mastl,-3.270635358
Matn2,-1.329022092
Mcm10,-1.928712948
Mcm3,-1.390179779
Mcm4,-1.084683561
Mcm5,-2.619957925
Mcm6,-1.461054802
Mcm7,-1.003212533
Mctp1,-3.169165188
Melk,-2.830658617
Mis18a,-3.465962842
Mis18bp1,-1.00944887
Mki67,-4.325648657
Mmp15,1.540688247
Mmp2,1.002144306
Mms22l,-1.895774521
Mns1,-1.543387119
Ms4a4c,5.227955083
Mtbp,-1.127089786
Mt-cyb,-1.154723263
Musk,-1.085901135
Mybl2,-3.570433113
Mybph,-2.495184134
Myo5b,-2.436856729
Nalcn,-6.580692272
Ncapd2,-1.212754083
Ncapg,-2.95984282
Ncapg2,-1.020837803
Ncaph,-2.846425614
Ndc80,-3.69327029
Ndufs6,5.32410317
Neil3,-4.741844914
Nek2,-5.557763384
Neurl1b,-1.482566136
NEWGENE_1310139,-1.593356249
Nkx2-5,-3.975852153
Noxa1,-3.708110243
Nppb,1.171598921
Nrxn1,-2.517749001
Nsl1,-1.623025252
Nuf2,-3.492403238
Nusap1,-3.915267237
Ocln,-1.248051293
Oip5,-3.362647101
Orc1,-2.527292569
P2rx5,-1.046023974
Pard3b,-1.102342407
Parpbp,-5.27802424
Pax6,-4.183952859
Pbk,-4.597077044
Pcdh9,-1.000881458
Pcdhga4,-1.186298463
Pclaf,-3.803087695
Pcsk2,-3.139540766
Pcsk9,-2.573091517
Pde1a,-2.622325481
Pde1b,-5.815792934
Pdzd3,4.818612593
Pglyrp1,1.068429961
Phf19,-2.564258036
Pif1,-4.625800936
Pimreg,-6.951098412
Pinlyp,2.932018598
Piwil2,1.002023295
Pkmyt1,-1.36076675
Plcd4,1.174861471
Plcl1,-1.458132922
Plk1,-4.46250735
Plk4,-1.015450603
Pln,1.452638591
Pmf1,-1.192642786
Pola1,-1.17263111
Pole,-2.029165031
Pole2,-1.694249647
Pou2af1,2.627542057
Ppcdc,9.790405324
Ppef1,-5.748424875
Prc1,-4.019333049
Prlhr,5.197437115
Prmt6,-6.397041532
Prr11,-3.718062866
Prss30,5.663537761
Psrc1,-1.150089019
Ptprv,1.066658483
Pttg1,-3.176218039
Pvalb,6.171186505
Pwwp3b,-1.407514542
Pygm,-3.432232055
Racgap1,-7.064885071
Rad18,-1.030386314
Rad51,-2.995937612
Rad51ap1,-1.327558715
Rad51ap2,-6.578010527
Rad51b,-1.99323224
Rad54b,-2.114379541
Rad54l,-1.571466063
Rassf10,2.168550646
Rbp2,1.222635435
RGD1306227,-1.053192935
RGD1560010,-1.027715489
RGD1563818,3.34785184
RGD1565355,-1.012495691
RGD1565472,2.43573455
Rlbp1,-6.027906773
Rmi2,-7.853538285
Rpph1,1.907442215
Rps6ka6,-1.775074034
Rrm1,-1.054635776
Rrm2,-5.288549546
Rsad2,1.474765929
RT1-T24-1,-1.947348161
Ryr2,-5.82474955
Samd12,-1.383168459
Sapcd2,-2.304973165
Sbk1,1.008183709
Sec14l4,-5.777270077
Serpina9,6.53658281
Sgca,5.867829906
Sgcd,-2.986560733
Sgip1,-5.878275274
Sgo1,-3.631653088
Sgo2,-5.292094226
Shcbp1,-3.676883054
Ska1,-6.348876849
Ska3,-2.050125128
Slc17a7,3.286816035
Slc25a47,-5.707990148
Slc27a3,1.580693408
Slc36a2,-3.208354816
Slc38a3,1.873150733
Slc5a1,6.672393774
Slc9b2,-5.982664505
Slfn4,2.128782931
Smc2,-1.287991627
Snorc,4.788593913
Sorcs1,-1.320092232
Sox17,5.324782536
Spag5,-5.128662525
Spata21,2.673845521
Spc24,-1.097156423
Spc25,-2.849049892
Spdl1,-1.239846999
Spint1,1.012759874
Srgap3,-1.13227397
St8sia6,-5.798347058
Stil,-1.960584505
Stmn1,-2.184532463
Sult1d1,5.113776286
Svop,3.240390179
Synm,1.209305754
Syt1,-1.281690445
Tacc3,-1.473816741
Tbc1d10c,-1.064363801
Tcf19,-2.096096276
Tedc2,-1.069498593
