Conc,Trt,Ind,Ratio,Indv
0,Dox,1,1,75-1
0.1,Dox,1,0.921417481,75-1
0.5,Dox,1,0.859141935,75-1
1,Dox,1,0.573499374,75-1
5,Dox,1,0.363539933,75-1
10,Dox,1,-0.07117214,75-1
0,Dox,2,1,78-1
0.1,Dox,2,1.020304041,78-1
0.5,Dox,2,0.291086183,78-1
1,Dox,2,0.377341087,78-1
5,Dox,2,0.322053903,78-1
10,Dox,2,0.054562624,78-1
0,Dox,3,1,87-1
0.1,Dox,3,0.91164813,87-1
0.5,Dox,3,0.504999986,87-1
1,Dox,3,0.281297074,87-1
5,Dox,3,0.015553594,87-1
10,Dox,3,-0.03429088,87-1
