"ENTREZID","SYMBOL","87.1_CX.5461_0.1_48","87.1_VEH_0.1_48","17.3_CX.5461_0.1_48","17.3_VEH_0.1_48","84.1_CX.5461_0.1_48","84.1_VEH_0.1_48","90.1_CX.5461_0.1_48","90.1_VEH_0.1_48","75.1_CX.5461_0.1_48","75.1_VEH_0.1_48","78.1_CX.5461_0.1_48","78.1_VEH_0.1_48"
5236,"PGM1",8.068307124,7.833103701,7.378559053,7.587501485,7.586869566,7.729610318,8.116413283,8.096948727,7.782270266,7.457882352,7.25340149,7.439992769
4919,"ROR1",7.988237774,8.172623269,7.798168663,7.839606481,8.275417361,8.310184688,7.821763314,7.902224637,8.077715784,8.176770947,8.205591598,8.214945974
57685,"CACHD1",7.353235923,7.336480052,6.968811641,7.055581279,6.843886395,6.96802924,7.459344219,7.449066493,7.473953112,7.505437261,7.931991512,7.882466316
55225,"RAVER2",5.928442001,6.092468161,6.164685078,6.273387585,5.615028562,5.652401013,5.78396714,5.833406537,6.061992233,6.17832317,6.183117123,6.099415532
3716,"JAK1",6.73580882,6.917456267,6.414627646,6.501520192,6.471123345,6.471287894,6.641334787,6.625694318,6.802172933,6.62491477,6.86169545,6.829754557
205,"AK4",6.635546631,6.614035303,4.379235799,5.433398102,5.317648536,6.01076213,6.624271927,6.813190981,5.877873386,5.016404138,4.905022379,5.179263842
9829,"DNAJC6",5.530820326,5.999046218,6.755824203,6.87965022,6.218053853,6.324893006,5.630069803,5.842435256,6.359394224,6.454832216,6.095841288,6.113688327
54741,"LEPROT",6.693151823,6.891130341,6.8702506,6.907592534,7.201507246,7.155620536,6.736280215,6.700664679,7.225627713,7.135972325,7.054106818,7.022543791
3953,"LEPR",2.637901677,3.635538884,2.919283245,2.793236647,2.469350845,2.643226343,2.578280464,3.120188784,2.505526437,2.650919089,3.037849229,2.770495604
5142,"PDE4B",3.974521205,4.416667724,4.262171227,4.50133368,5.03797102,4.770396185,4.364674309,4.390126483,4.669717286,4.782381844,5.100988357,5.15186261
84251,"SGIP1",3.386058889,3.018457718,1.621697518,2.022639546,1.86952426,2.05515723,3.041911465,3.162001568,2.913953718,3.494371663,2.926630374,3.240745778
79819,"DNAI4",0.995640549,1.707656998,0.916824868,0.52317328,0.823990437,0.624485525,1.365671972,1.466241053,0.824962975,0.612833112,0.453516701,0.815071941
57708,"MIER1",4.879992791,5.095643293,4.607548341,4.806399022,4.72668863,4.670265363,4.712507151,4.949016661,4.946558701,5.147890764,4.782609998,4.761724766
23169,"SLC35D1",4.363188368,4.453882005,4.182795182,4.186190422,4.448919165,4.598132435,4.430656969,4.530815376,4.186642802,4.329646424,4.455892521,4.276952897
26135,"SERBP1",8.216014977,8.451106665,7.798869355,8.028028615,7.754047244,7.891636509,8.231748394,8.317413976,8.295952045,8.310604811,8.130604683,8.152868196
1647,"GADD45A",6.698787829,6.488892475,6.76302358,6.687186866,6.746002871,6.315452709,6.934693855,6.773954725,6.578052652,6.477318018,6.512801646,6.360205727
55970,"GNG12",6.161258097,6.902952395,6.279583378,6.474244438,6.319700505,6.24634077,6.209536228,6.473776766,6.483656199,6.787009939,6.517976005,6.525645568
100289178,"GNG12-AS1",0.995640549,1.040627299,1.570094028,1.738129246,1.360251109,1.17668899,0.865878972,0.799295274,1.228515027,1.674575462,1.083603539,1.549920371
9077,"DIRAS3",1.366815108,1.334677042,2.146972993,1.789616611,2.005901029,1.912172742,1.293494676,1.296417827,1.897251022,1.737598697,1.589709528,1.77185871
79971,"WLS",8.303075651,8.380182669,9.144919424,8.976012616,9.103951665,8.993454434,8.43535386,8.32686519,8.957428386,8.874530849,9.140677433,9.138339978
55635,"DEPDC1",1.92375379,5.592110055,1.432381894,5.042247824,2.177464425,4.930464853,1.62291739,4.870487333,3.117752004,5.785883094,1.946199325,5.436102751
57554,"LRRC7",0.349270165,0.048196866,1.373392582,1.427383848,1.276430563,1.407465883,0.094825289,0.666153844,0.863254068,1.133864154,0.984558482,0.454012222
55631,"LRRC40",4.853288117,5.212443248,4.57191808,4.724986613,4.491363712,4.632750582,4.74218496,4.855275054,4.835381012,4.942535681,4.866134309,4.909284571
9295,"SRSF11",7.42752818,7.381034774,7.531409323,7.413805015,7.496564173,7.582908005,7.309190815,7.303944446,7.473566401,7.553300411,7.761727802,7.585340482
81573,"ANKRD13C",5.166968631,5.378092666,4.893898257,4.924346601,4.829528045,4.670265363,4.892271297,4.934614326,4.849755871,5.00577549,4.996831276,4.703600435
11147,"ANKRD13C-DT",2.230864479,2.146971183,2.181771707,2.051048352,1.952887064,1.753442291,2.184941053,2.265595878,1.368205712,1.947648167,1.963641232,1.982055597
1491,"CTH",1.641103526,1.806873979,1.432381894,1.964086535,1.55069021,1.808315942,1.562777298,1.641997448,1.137710038,0.781834644,1.589709528,1.851881758
5733,"PTGER3",3.256178373,3.197341074,2.959947973,2.921868413,2.351406891,2.597222429,3.448706761,3.524515791,2.352418991,2.161931408,1.318633574,0.892796056
100132618,"ZRANB2-AS1",0.747554048,0.752806244,1.621697518,1.314739307,1.514560527,1.217807348,0.488798223,0.711913228,1.341328721,1.224657507,1.472762449,0.966546035
9406,"ZRANB2",6.600515324,6.645204538,7.023791587,6.744301777,6.699490078,6.60321712,6.6860689,6.672010843,6.854196368,6.9066741,6.881903896,6.749765316
257194,"NEGR1",2.006874346,2.609569529,2.99949785,2.776320293,3.206821412,2.978408853,2.287596841,2.28085771,3.010945989,3.073616099,2.315712096,2.241729851
100526835,"FPGT-TNNI3K",0.583934474,0.867570579,1.035728339,0.676919235,0.417452339,0.496666396,0.865878972,0.921180975,0.785627809,0.74140379,0.549045911,0.815071941
