"ENTREZID","SYMBOL","87.1_DOX_0.5_48","87.1_VEH_0.5_48","17.3_DOX_0.5_48","17.3_VEH_0.5_48","84.1_DOX_0.5_48","84.1_VEH_0.5_48","90.1_DOX_0.5_48","90.1_VEH_0.5_48","75.1_DOX_0.5_48","75.1_VEH_0.5_48","78.1_DOX_0.5_48","78.1_VEH_0.5_48"
653635,"WASH7P",4.424852276,3.723734885,4.296957463,3.164893651,4.067769953,3.486031671,4.500237153,3.915305068,4.350318901,4.25509677,3.667240403,3.533785248
729737,"LOC729737",2.18874027,4.198993764,3.357586477,3.969134109,2.030846357,3.571840332,2.163498697,2.98308951,2.824111147,3.772804644,2.510251649,4.045148965
102723897,"LOC102723897",4.383929197,3.969588432,4.383515429,3.407689576,3.64867619,3.28050388,4.332326964,3.90445101,4.256793465,4.178903349,4.029516783,3.699268868
100132287,"LOC100132287",1.409709325,2.664169178,2.734812542,3.097225631,2.009051219,3.322369049,1.801331291,2.567489262,2.58339225,2.763989234,2.494602233,3.392173993
102465432,NA,5.553327041,4.868680316,6.103301187,6.414277868,5.614651808,5.76570716,5.931258381,5.48090346,6.981246903,6.549999234,6.339714864,5.644492904
100133331,NA,2.020940865,3.001401826,2.723313684,2.764789883,2.269540737,3.070538876,1.900746175,2.511366059,2.313010197,2.976098492,2.766292636,3.47177404
100288069,"LOC100288069",-0.726367673,0.243519322,-0.157586512,0.06095399,-0.480871673,0.446463658,-0.152802176,-0.070995221,-1.238121183,0.45077206,-0.358535918,0.108862891
79854,"LINC00115",1.205657994,-0.169225035,0.966017886,-0.306992028,0.957515671,-0.692399477,0.31916198,-0.070995221,1.806026546,0.055672688,2.792127398,0.789164156
643837,"LINC01128",5.412909927,6.121414342,5.141563317,6.20174406,5.220921281,6.192149711,4.435398838,5.158900654,5.378073562,5.916413141,5.822490927,5.518950361
100130417,"LINC02593",2.123943214,0.051857466,1.639718709,0.214833939,0.654744786,1.35858504,-0.075169203,0.368756439,1.696308865,-0.153579103,1.357526527,-0.308159157
148398,"SAMD11",3.762313059,0.701072018,3.319909147,0.943934664,3.055566788,1.258623073,2.046803905,0.892717264,3.063870766,0.119182205,3.844368355,0.179535503
26155,"NOC2L",7.539720506,6.488585576,6.984927945,6.488786378,7.221463897,6.350257577,7.345790224,6.705552393,7.482538031,6.436154711,7.846550631,6.470519411
339451,"KLHL17",4.359510109,3.851892404,3.932685204,4.459545186,3.8336408,4.449415463,4.075751358,3.915305068,4.913041814,3.983711782,4.559715141,4.059273859
57801,"HES4",5.677053022,5.881814115,5.031648618,6.084325545,4.819013472,5.825158228,4.944236088,6.033954608,6.231369009,5.481583209,5.705013039,6.151433062
9636,"ISG15",5.968720426,3.453299679,4.986669117,3.753726977,4.77771771,3.128325802,4.842882927,3.589094485,4.161950875,3.220111913,4.52547139,3.421630116
375790,"AGRN",10.54332945,9.454890057,9.898841724,10.09097818,10.75130643,10.14879778,10.69165297,9.624797841,10.25987122,9.809977792,10.01095042,9.989621599
54991,"C1orf159",1.890669234,3.685712007,2.512353063,3.642830624,2.030846357,3.698056804,2.439584203,3.424106221,2.275350584,3.594350385,1.991376135,3.553877152
51150,"SDF4",9.352975548,8.315239137,8.820143794,8.60072729,8.802395134,8.496983045,8.823484637,8.24077248,9.172828243,8.271285041,8.988316022,8.326425212
126792,"B3GALT6",6.083924915,6.24235016,5.93406424,6.503797302,5.933800895,6.126315306,6.08078001,6.131427467,6.547971449,6.367526348,6.308728176,6.587221258
388581,"C1QTNF12",1.205657994,-1.160088741,0.563478688,-0.205841469,1.577038933,1.223701663,2.114637701,0.236527209,1.448142523,-0.010761868,1.322498864,0.034549141
118424,"UBE2J2",6.907429331,5.651817572,6.684946034,5.743794062,6.533297387,5.521609968,6.559045582,5.846783391,5.668741817,5.747077383,6.271332636,5.76142064
6339,"SCNN1D",4.688405361,2.49858851,4.740828308,2.962459723,3.29051886,3.183886949,3.94210928,2.328572367,4.993523324,2.093170391,5.177282977,2.825390237
116983,"ACAP3",6.873339816,6.11631869,6.547439907,6.636561234,6.446770387,6.72272882,6.724220969,6.251923095,7.476327588,6.382163053,7.188835723,6.128170749
126789,"PUSL1",1.635692107,2.947333319,2.372127506,3.256367969,2.114876307,3.11885396,2.465794771,3.148609998,3.646541577,3.212851954,2.139606778,3.095902655
54973,"INTS11",6.603894036,6.061168454,6.53186932,6.095516333,6.247115452,6.078253651,6.369016429,5.967719696,5.650470867,5.924213199,5.720231673,6.227414719
80772,"CPTP",4.404535833,4.971587368,4.394432174,4.735501824,4.408868245,4.701821735,4.778989841,5.083918673,4.403655747,5.062118633,4.462511325,4.895944451
83756,"TAS1R3",2.280785701,0.656834569,1.801560934,0.853079687,1.821713007,1.035164369,1.530404071,1.058553396,2.996031626,0.91173071,3.081193247,-0.408262347
1855,"DVL1",6.094532435,6.083273266,5.646624683,5.960582951,5.653804943,5.925003076,6.032275622,6.199607756,5.355692632,5.953910196,5.461124375,6.065406101
