"ENTREZID","SYMBOL","87.1_DOX_0.1_48","87.1_VEH_0.1_48","17.3_DOX_0.1_48","17.3_VEH_0.1_48","84.1_DOX_0.1_48","84.1_VEH_0.1_48","90.1_DOX_0.1_48","90.1_VEH_0.1_48","75.1_DOX_0.1_48","75.1_VEH_0.1_48","78.1_DOX_0.1_48","78.1_VEH_0.1_48"
387849,"REP15",-0.300995366,0.048196866,0.28413864,0.351066737,-0.232274986,-0.171199671,1.126252591,1.326146477,0.843291656,0.31518892,0.936196881,-0.44057676
60488,"MRPS35",5.824099047,6.06366758,5.561461611,5.821350832,5.68974688,5.483550893,5.79609293,6.010926534,5.665523541,5.960055739,5.610514677,5.76543274
57542,"KLHL42",4.675102059,5.350401954,4.698467006,4.933912691,5.149073261,5.339624262,4.944119704,5.014389443,3.89392717,5.016404138,4.622956857,4.897548264
5744,"PTHLH",-0.898579763,-2.038860729,-0.355073895,-1.097096043,-0.34189653,1.334566326,-1.181206395,-1.283972182,1.237302766,-0.210794095,2.306638211,2.511845369
55297,"CCDC91",5.148012855,5.075886336,4.560194794,4.516693354,4.544563365,4.227295353,4.779729947,4.746796493,5.272126157,5.014284663,5.058147174,4.743483423
55711,"FAR2",3.063876502,3.137603722,3.276885337,3.238294246,3.131238499,3.220173651,2.932336506,2.930002835,3.426633524,3.553949999,3.367789068,3.050362841
100506606,"LOC100506606",0.221098278,0.172468909,-0.186580526,0.256646822,-0.34189653,-0.281477194,-0.586953193,-0.585641044,-0.163843621,0.859448149,0.224448686,0.645807917
51290,"ERGIC2",5.919982212,6.041428796,5.870566817,6.023938547,6.072804531,6.140723234,5.921763879,5.744004066,6.010065023,6.153500936,6.09686135,5.905618474
83857,"TMTC1",7.41263527,6.408241072,6.523123647,6.391264262,6.759693663,6.396033285,6.979532626,6.655273467,7.502718268,6.783280735,6.830254519,5.228810995
10526,"IPO8",5.878152126,6.026067025,5.774281014,5.798492817,5.698425638,5.744972676,5.941684541,5.865395786,5.890466283,5.909633573,6.240882497,6.026931152
65981,"CAPRIN2",5.831092055,5.196063963,5.846484096,5.586807361,5.577554495,5.445110279,5.410347696,5.023491212,5.957403396,5.434517091,6.165863629,5.273084056
441631,"TSPAN11",5.438351152,3.145207569,5.483964012,3.844572798,4.996976467,3.796378667,4.834740768,3.452211635,6.970527874,3.198342463,6.409345751,3.780077064
1663,"DDX11",2.585597679,3.744676352,4.290715995,4.689283909,2.575047943,3.856198046,1.993141176,3.383180066,0.931173123,3.829396284,2.801123517,4.351110652
58516,"SINHCAF",5.758540535,5.85462679,5.650390634,5.679570319,5.48025734,5.458037957,5.97170512,6.103962252,6.256429793,5.922122695,6.023212107,5.735419889
160518,"DENND5B",8.432043501,8.956781869,8.313479678,8.398241835,7.93161357,8.16235382,8.324713693,8.215117396,7.930157547,8.87919685,8.135915873,8.643213686
100874249,"DENND5B-AS1",1.253812229,0.443096927,0.497122486,0.102310989,-0.232274986,-0.068756313,0.538462933,0.799295274,1.800927892,0.369258419,1.521816229,0.041237303
254013,"ETFBKMT",1.103501046,1.135300017,1.160064625,0.712925443,0.432527041,1.17668899,1.16291968,0.756265726,1.166642582,1.253695111,1.321321953,0.774581064
196394,"AMN1",3.174837244,2.785306031,3.172266145,2.921868413,2.690911375,2.26587084,3.044666882,2.890751548,4.321428449,2.683295609,3.454398035,2.486999074
440093,"H3-5",2.650286614,2.020383179,2.219116571,1.918557526,1.508178937,1.510341749,2.458957009,2.665090139,3.058312971,1.442074406,2.562018881,1.812425
55196,"RESF1",4.581050807,5.101518003,4.954242894,4.986341289,4.407316662,4.81126955,4.949376886,5.081292947,5.03487768,5.334436209,5.231665527,5.440962319
636,"BICD1",5.212168208,5.057870747,5.016005478,4.857558699,4.582564518,4.688663168,5.421739733,5.072549718,5.717427874,5.037429369,5.336104238,4.852058719
121512,"FGD4",3.043377547,2.642178446,3.817579607,3.268851894,3.468130278,3.719728552,3.102440981,3.103118351,4.457140868,3.333681816,4.255884166,3.140749525
10059,"DNM1L",6.724265583,6.909106453,6.593543936,6.854182039,6.557022856,6.643385194,6.684784342,6.748106969,6.591726411,6.996380648,6.767502295,6.707371601
51067,"YARS2",4.540181278,4.562931555,4.589510287,4.729387962,4.582564518,4.509839365,4.688360295,4.76047064,4.963724816,4.660285531,4.899972171,4.654238258
5318,"PKP2",9.460375411,9.695947713,9.089261075,9.070650813,9.227469195,9.064736843,9.242938763,9.228335233,9.062864325,9.583227548,9.489335466,9.651261754
84920,"ALG10",1.277409176,1.768002094,1.221277422,1.666490131,1.230328189,1.985435648,1.542701594,2.103380146,1.704459804,1.911662299,1.290262248,2.211714037
144245,"ALG10B",3.117157752,3.233458607,1.956514595,2.235636017,2.07547914,2.597222429,3.15799027,3.111678816,2.402567514,2.756129615,3.922810984,4.041292918
