"ENTREZID","SYMBOL","17.3_CX.5461_0.5_3","84.1_CX.5461_0.5_3","84.1_VEH_0.5_3","90.1_CX.5461_0.5_3","90.1_VEH_0.5_3","75.1_CX.5461_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_CX.5461_0.5_3","78.1_VEH_0.5_3","87.1_CX.5461_0.5_3","87.1_VEH_0.5_3"
148413,"MRPL20-AS1",3.652427828,3.654957047,3.548956399,3.738430816,3.61500222,3.542653287,3.792942317,3.522243116,3.805372173,3.825774374,3.911295199,3.935220621
55052,"MRPL20",5.514055902,5.504300526,5.465870814,5.717837515,5.640218925,5.698365647,5.496866256,5.395251903,5.549141063,5.619770068,5.760036037,5.829489097
64856,"VWA1",2.494110478,3.925923675,3.766463304,4.58678562,5.072044949,3.803543586,3.140521675,3.486503906,4.110206249,3.674305951,5.034779095,4.970288021
219293,"ATAD3C",1.016066521,0.878870471,0.629164279,0.780296554,0.533528045,0.816326891,0.612459387,0.762893229,0.526202071,0.489576977,0.231982987,0.49702365
83858,"ATAD3B",5.130640581,5.128431064,5.144319055,5.108158154,5.059989362,4.91323232,5.529758713,4.542062361,4.726287157,4.846228344,4.856180551,4.828691759
55210,"ATAD3A",5.605512044,5.711169173,5.441169755,5.578634777,5.584079363,5.440919989,5.72178438,5.269460523,5.521965451,5.419007563,5.750088355,5.612672101
339453,"TMEM240",1.055768804,1.905945631,1.607491549,1.895548381,2.160478249,1.794192579,1.690611527,1.205392151,1.473231369,1.683922744,1.936479954,1.394290606
29101,"SSU72",6.255404249,6.434824956,6.324670814,6.469754642,6.556151881,6.00060882,6.389766906,5.871140475,6.125091003,6.327694265,6.321582827,6.41852426
643988,"FNDC10",3.509631805,3.995582067,3.944658851,4.103183077,4.823751848,2.314595318,3.949561984,1.997387577,3.636785915,3.69963517,3.838053353,4.46042294
142678,"MIB2",6.450466268,6.611614206,6.351430102,6.737631645,7.154540147,6.610596819,6.753720545,6.506334746,6.510608476,6.419163095,6.579257285,6.522650306
8510,"MMP23B",5.4087623,5.087297961,4.977274909,5.226520986,5.453773348,5.40546567,5.801922779,5.239355919,5.356274331,5.15629215,3.942205216,4.177338307
984,"CDK11B",5.753188107,5.771985906,5.728654275,6.080114003,6.20842864,5.951116508,5.804754663,5.733084365,5.773111632,5.839355144,6.009743479,6.137324728
728661,"SLC35E2B",6.826145249,6.819452924,6.97304114,6.701835953,6.841070218,6.248464663,7.030260183,6.352696194,6.841936106,6.967502282,6.615322539,6.6569795
8511,"MMP23A",6.293265806,5.932242358,5.836040556,5.894210778,6.0841736,6.285155664,6.551928531,6.02438844,6.083052725,6.012309878,4.73784685,4.786891988
728642,"CDK11A",5.643465123,5.655973546,5.517678773,5.653905871,5.842376256,5.291706308,5.754375837,5.148894414,5.785263327,5.766316604,5.299782001,5.471748635
9906,"SLC35E2A",5.866359971,5.630934687,5.696903514,5.082326537,5.273411103,5.678699913,6.016214819,5.800128308,5.91749892,5.975195448,4.906308386,5.007161243
65220,"NADK",5.49973339,5.976644953,5.836040556,5.48315676,5.556885305,5.335423941,5.654305876,5.31940863,5.487673062,5.709783229,5.908288122,5.837473653
2782,"GNB1",8.189582339,8.549860423,8.489323583,8.605456973,8.532884404,8.100538185,8.223356978,8.156847676,8.294999232,8.417372615,8.568561656,8.54338624
105378949,"GNB1-DT",-1.003369929,-0.679537849,-0.822293771,0.468453573,-0.00059426,-0.607801508,-0.292741478,-0.928164975,-0.110647357,0.165277098,0.231982987,0.071240077
5590,"PRKCZ",4.994261358,4.945565499,4.939786233,5.534286121,5.575636154,4.939439264,5.191865196,4.983538637,5.156635722,5.338656037,5.416015619,5.439137373
100506504,"PRKCZ-AS1",1.168713008,1.554751604,1.304559035,0.914115213,1.228490804,0.641600221,0.850325056,1.050833662,1.003954567,1.096887593,1.008859005,0.131858525
199990,"FAAP20",4.566258838,5.039893683,4.969323223,5.287397372,5.287955472,4.918032765,4.921410867,4.701238746,4.857404948,4.968486247,5.175216468,5.160518185
6497,"SKI",6.528378624,6.72085601,6.523302676,6.650820571,6.650019902,6.465665852,6.470452272,6.50484683,6.742955289,6.71380043,6.510209812,6.462704
79906,"MORN1",2.259237495,2.585725497,2.324657682,2.115268783,2.298220371,2.077732507,2.509525962,1.633443694,2.472960298,2.437677069,2.054343005,2.133203734
