"ENTREZID","SYMBOL","17.3_DOX_0.5_24","87.1_DOX_0.5_24","87.1_VEH_0.5_24","17.3_VEH_0.5_24","84.1_DOX_0.5_24","84.1_VEH_0.5_24","90.1_DOX_0.5_24","90.1_VEH_0.5_24","75.1_DOX_0.5_24","75.1_VEH_0.5_24","78.1_DOX_0.5_24","78.1_VEH_0.5_24"
23265,"EXOC7",7.813201878,7.838733666,7.06620893,7.174302079,8.28666505,7.356296305,8.018530421,7.058741873,7.284871574,7.264152415,7.555125359,7.167115356
114804,"RNF157",4.348497257,0.815817584,1.942423385,2.806973239,1.288664027,1.408716972,1.992312863,1.989758574,4.125823078,2.479448447,4.490857442,3.136404076
283991,"UBALD2",5.934219348,4.780385662,4.012914892,3.867368676,4.93136155,3.842766727,5.291416006,4.42307173,5.109408535,3.980094162,5.258962966,3.852409539
84074,"QRICH2",5.032293389,3.253453105,2.55361613,3.103338856,4.276067677,3.553798765,3.460119139,3.042895005,4.672120409,3.014612122,4.625012623,2.700658213
5635,"PRPSAP1",6.005973519,5.487816568,4.830064642,5.211986116,5.516443103,5.035217115,5.491888466,5.15453111,5.049782808,5.109312261,5.135929806,4.66216361
8877,"SPHK1",7.476848118,7.212481785,2.542501712,3.419626489,7.106237283,4.233615458,7.399098435,3.350565536,6.911917316,2.761872222,6.934711947,3.136404076
63893,"UBE2O",6.770548124,6.11588782,5.929076659,6.487516956,6.385264483,6.181891635,6.472705408,6.157511711,5.493833483,6.255524545,5.930392984,6.006490241
79651,"RHBDF2",5.405264209,4.733744603,3.699322153,3.284381797,5.76274429,4.708577403,5.790099302,3.874908843,3.93027593,2.616691547,4.559493845,3.518380924
114757,"CYGB",2.5946184,3.739363806,2.246296495,1.802050743,4.255180747,0.155328395,4.180710738,2.674199609,1.847186676,0.337278031,2.309054771,-0.534828543
768206,"PRCD",1.455365749,0.92473368,-0.128395175,0.396952704,1.980674994,-0.918575722,1.854827632,0.857364768,0.050476542,-0.500638821,0.439249985,-1.238909404
100507246,"SNHG16",5.84823522,5.906083949,5.980427098,6.172149522,5.773066527,5.723233586,6.058509654,6.211317616,5.488229203,6.417717825,6.181242374,6.375043362
10610,"ST6GALNAC2",4.992084256,6.381750006,1.556984307,0.249810951,5.796386513,0.407377691,6.049534919,0.642069,3.994937381,0.863896973,4.101247144,0.625919364
105274304,"LOC105274304",2.867805732,1.586231751,1.317199052,1.720561685,2.206366484,1.873753808,1.217509494,0.896820575,2.402398777,0.534954408,2.005951451,1.2607165
439921,"MXRA7",8.703817228,8.997912799,9.209363753,8.796970877,8.462101231,8.452251424,8.636924453,8.722311205,8.528493519,7.996017934,9.040983382,8.664967479
105376847,NA,0.381969527,0.326715502,1.556984307,1.952398055,1.255393413,1.465351986,0.973641564,1.467871799,-0.811672118,0.970185088,0.060577701,1.57654752
23210,"JMJD6",5.026996481,5.009918424,5.397164684,5.771356791,4.764022889,5.092524144,5.381785703,5.690471468,4.467079814,5.064023662,4.26286981,5.10133841
124512,"METTL23",4.31846073,4.857974084,3.95121751,4.005659856,4.168470996,3.696662071,4.583354739,3.918694049,3.288501121,3.507733622,3.991965474,3.758926575
6427,"SRSF2",6.868565258,5.949697707,6.891078698,7.314549012,6.284757928,7.201324009,6.259655765,7.042891328,5.840244568,7.344575953,5.517406953,6.904931326
79157,"MFSD11",5.808653947,5.262525922,5.249491971,5.794771527,5.403284704,5.608476318,5.11982701,5.417881829,5.352929454,5.930799576,5.59886548,5.536980931
654434,"SNHG20",2.000544228,1.447083922,2.102345747,2.579365691,2.290892839,2.672532051,1.453529609,2.592449966,0.976274555,2.659683665,0.986906878,2.456307439
6397,"SEC14L1",6.709034976,6.477232916,6.38608998,6.341843684,6.609185245,6.640376129,6.632241316,6.364291873,5.769619339,6.158628868,6.294884199,6.300893918
10801,"SEPTIN9",6.955473549,7.343327065,7.801756586,7.314549012,7.068422828,7.356296305,7.896836015,7.957110492,7.022029281,7.598369815,7.270722434,7.734499449
57690,"TNRC6C",6.463544453,5.117090154,4.87284401,5.256031836,5.674251109,4.848224479,5.822071403,5.1646686,6.087604748,5.418687046,6.60893208,5.081032656
100131096,NA,5.288379743,4.827905123,4.132627728,5.568953831,5.378389047,4.723166307,5.758779827,5.527208547,5.450300435,5.989902157,5.148716144,5.465675931
11322,"TMC6",7.134837219,6.738868764,6.172904279,7.433865086,7.301223047,7.071094059,7.537524607,7.65488276,7.527761386,7.510825801,7.080303074,7.273841424
147138,"TMC8",2.744139301,1.772627018,-0.738277768,-0.098959171,2.079037045,-0.53851457,2.45339673,1.113267438,3.235964599,-0.816927683,3.122966624,-0.427497793
9144,"SYNGR2",7.03480601,7.459142065,7.14868983,7.316283628,7.398247854,7.131949117,7.613709841,7.369092467,6.76593158,7.529778984,6.689894539,7.330368606
7083,"TK1",4.775448426,3.908041986,4.377448032,4.142315311,4.395411249,3.630097937,4.164175833,4.32162061,4.998140255,4.960372752,4.21504001,4.388732313
125061,"AFMID",2.914449288,2.394312925,3.955413777,4.198572527,2.865615067,3.905513023,3.184855041,4.579773895,3.791550102,4.03419032,3.198698212,3.825537707
332,"BIRC5",3.955558137,2.583391797,4.494535078,4.157877028,2.774609312,4.087917929,2.29534727,4.385425183,4.695006123,5.11897227,4.274583536,4.359057462
9021,"SOCS3",5.225027149,5.532961049,4.087458022,3.330886396,5.537355519,3.23342652,5.537536359,3.555531171,4.323402699,4.431517992,4.661157915,4.110155983
9489,"PGS1",4.788028366,5.645981566,4.652780813,4.591335827,5.658429573,4.900506149,5.667872205,4.844793334,3.69105332,4.91007201,3.744916068,5.001634342
8632,"DNAH17",1.252461352,1.058236754,0.189198309,0.08593968,2.079037045,0.893569974,1.747927906,0.687775294,1.506355347,0.900203399,1.693317484,0.625919364
9267,"CYTH1",6.218383236,5.611095106,4.471279579,4.492516739,6.216164036,4.402655414,6.260628253,4.847313031,5.735334,4.975339961,5.830768304,4.470797128
57602,"USP36",6.735255618,6.086883219,5.472298196,5.4932804,5.935484201,5.431452382,6.345572159,5.709985216,6.506102497,5.377429865,6.259954881,5.278229671
7077,"TIMP2",8.906342082,8.885626748,8.811872799,8.313789002,9.391134066,9.186679335,8.892919867,8.687579547,9.397867089,8.433922942,9.346906057,8.585110527
3959,"LGALS3BP",8.341586864,7.837283067,8.339910055,8.687530981,8.091329116,8.942052978,7.371906488,8.179375129,8.894306851,8.752587507,8.627325972,8.898846708
124583,"CANT1",6.524016235,6.786550212,6.409983804,6.491616612,7.012267025,6.726167183,6.893394774,6.597692291,4.632022827,6.56774414,5.404664452,6.655432327
100507410,"C1QTNF1-AS1",1.547031902,2.275946188,-0.277995767,0.592858793,2.09792957,-1.071325479,2.812909803,0.011513888,-0.543314524,0.708780547,-0.174010424,-1.65711001
114897,"C1QTNF1",2.427790145,2.845952333,3.648393046,3.358086208,2.797904574,2.660454534,3.287660341,4.281192659,3.305596584,3.378582261,2.597206682,3.082947582
64772,"ENGASE",5.834656553,5.093952757,5.389431561,5.998648335,5.675823762,6.002157563,5.21119234,5.593246106,5.709877282,5.770881799,5.31108003,5.434003727
84733,"CBX2",4.639754235,1.150834696,2.542501712,3.312464049,2.153166589,3.452374696,2.558356964,3.970465252,5.662559958,3.615388725,5.350352674,3.873552351
57332,"CBX8",3.321629497,2.594425285,3.077114547,3.166244881,2.079037045,2.788052151,2.519886156,3.32909296,3.503772321,3.126110272,2.868529274,2.814361795
8535,"CBX4",6.709861626,6.050288645,5.78089781,5.945840877,6.258760177,5.578301741,6.842992825,6.606643581,5.983896439,5.561550734,5.94512714,5.73046481
125058,"TBC1D16",5.808653947,4.72373031,5.770218204,5.876991585,5.047676248,6.083559027,4.907761983,5.810252885,5.886424771,6.092506252,6.205922177,6.241144301
55036,"CCDC40",3.185623534,2.406884781,3.202449923,3.124613758,2.446398301,2.915474942,2.480361317,3.152905206,4.285130766,3.14892151,3.293860493,2.758629883
2548,"GAA",7.315682338,7.860319422,7.258047105,7.07602409,7.696271406,7.593126065,7.881113409,7.443003901,7.722522946,7.119108888,7.409997655,7.382000385
9775,"EIF4A3",7.649213717,7.097946311,6.406156627,6.375510392,7.19610408,6.131376971,7.238582317,6.854093473,6.530846282,6.290139006,6.780998224,6.418849162
79092,"CARD14",2.731169026,2.978194742,1.121960037,2.066727848,3.546999993,2.409386147,3.325328838,1.493835609,3.143914806,0.863896973,2.772662428,1.412887193
