"ENTREZID","SYMBOL","87.1_VEH_0.5_24","17.3_VEH_0.5_24","84.1_CX.5461_0.5_24","84.1_VEH_0.5_24","90.1_CX.5461_0.5_24","90.1_VEH_0.5_24","75.1_CX.5461_0.5_24","75.1_VEH_0.5_24","17.3_CX.5461_0.5_24","78.1_CX.5461_0.5_24","78.1_VEH_0.5_24","87.1_CX.5461_0.5_24"
653635,"WASH7P",3.758154877,3.589908534,3.656405364,3.690736109,4.136763246,4.3179918,4.206359261,4.322033542,3.901019608,3.263082015,3.309292239,3.837614576
729737,"LOC729737",4.399175564,3.898579955,3.213791488,3.39521767,3.753419894,3.713029655,4.316587226,4.355106219,4.399857828,3.930600239,3.758926575,3.262419192
102723897,"LOC102723897",3.679165737,3.574530024,3.620785265,3.560313436,4.031566281,4.119660772,4.206359261,4.078431122,3.755467013,3.335835491,3.213048982,3.800655581
100132287,"LOC100132287",2.55361613,3.349076463,2.632911567,2.831788888,2.304366887,2.343922546,3.411851439,3.236722135,3.623058857,2.727055343,3.055457731,1.823366763
102465432,NA,5.117157432,6.027171548,5.849481032,5.66094634,5.851456397,5.182738485,5.952885819,5.872602197,6.711814584,6.066383836,5.990853696,6.230571983
100133331,NA,2.86151576,2.806973239,2.873871991,3.096700292,2.600289044,2.718914657,3.175973597,3.285575247,3.452828938,3.299917314,3.073842375,1.946904393
100288069,"LOC100288069",0.709951516,0.652664246,0.714909948,0.155328395,0.005033568,0.011513888,0.886552285,0.58041352,-0.129475131,0.727308858,0.575200342,-2.062285652
79854,"LINC00115",-0.277995767,0.08593968,0.238930074,0.464064285,-1.180469911,0.273743908,0.77328691,0.439499247,0.886868905,0.133473391,-0.327602077,-0.440968063
643837,"LINC01128",5.98453938,6.356529149,5.797252302,5.78294256,4.861043864,5.214314303,5.850152042,6.148288532,6.13013658,5.357797626,5.561616375,5.2142381
100130417,"LINC02593",-0.359046558,1.302041694,0.470014298,0.084779489,0.482431394,-0.847040276,0.202619312,-0.021683939,1.444571712,-0.736043968,-1.43290925,-0.124311901
148398,"SAMD11",0.496173635,2.271340946,1.329213448,1.1569232,0.646883759,1.178755857,0.650365659,0.58041352,1.91895121,-0.736043968,0.159264025,0.193384733
26155,"NOC2L",6.465470131,6.542890968,6.814417826,6.666275891,6.8529683,6.78480207,6.382686083,6.378042453,6.76900294,6.583090899,6.522038879,6.380550491
339451,"KLHL17",3.855669948,4.341707165,4.77720359,4.910738912,4.182156646,4.439864348,3.80667233,4.013623451,4.802417612,3.894928309,3.7758699,3.800655581
57801,"HES4",6.087540506,5.942849677,6.160848501,6.378103033,6.539061116,6.599188034,5.196815671,5.642812893,5.845803658,5.409276367,5.959062808,6.802362273
9636,"ISG15",3.860153092,3.75589638,4.755468725,3.731715597,4.11351946,3.645143464,2.453696901,2.857298904,3.485311404,3.030820045,3.809171029,4.948846945
375790,"AGRN",9.653633167,9.57483496,10.64438456,10.69420606,10.32640083,9.995015246,9.778661397,9.663540479,10.09150874,10.21992603,10.16640382,9.254676357
54991,"C1orf159",3.518285836,3.58223977,3.656405364,3.965643696,3.923447375,3.798844402,3.187072358,3.6846756,3.419598246,3.052568604,3.504894404,3.511458016
51150,"SDF4",8.376554769,8.347826346,8.70171755,8.77724322,8.550023768,8.447771495,8.183572229,8.077048886,8.662289087,8.226818583,8.200454607,8.743346233
126792,"B3GALT6",6.268753089,6.194956869,6.327551807,6.476965355,6.408592883,6.359004258,6.167013386,6.229899345,6.383796706,6.373356278,6.428703382,6.645762049
388581,"C1QTNF12",-0.277995767,-0.559873918,1.238115449,1.049885381,-0.361082504,0.594867168,-0.198263536,-0.241376187,-0.129475131,0.359675197,-0.327602077,0.01126977
118424,"UBE2J2",5.766640694,5.865980113,5.841766246,5.730472749,5.946597488,6.128801784,5.675963223,5.596544223,5.81738041,5.579980114,5.681852274,6.195410369
6339,"SCNN1D",2.531301005,3.384782684,3.276179256,3.445352684,2.752497249,2.845300999,2.593725318,2.503248231,3.714951693,2.287800378,2.428003904,1.946904393
116983,"ACAP3",5.989663304,6.791760162,6.714460982,6.926671354,6.583723606,6.476784165,6.213890142,6.413013991,6.952998763,5.909871028,5.903613645,5.552481263
126789,"PUSL1",2.939845596,2.991987383,3.306389757,3.192074739,3.468379779,3.592046705,2.690491878,3.031077783,3.069379146,2.713467078,2.769949833,3.738501477
54973,"INTS11",5.938646425,6.128059753,6.242217912,6.309185821,6.168078927,6.313259439,5.853638972,5.932991725,6.236532087,6.002172892,5.939145183,5.966372949
80772,"CPTP",5.038249882,5.049071648,5.175271053,4.905631603,5.507173768,5.237550753,4.82637036,4.620188842,5.003631416,4.671851227,4.922690954,5.332240291
83756,"TAS1R3",0.13102796,1.302041694,0.884704825,1.122118905,0.423166678,0.687775294,1.136018236,0.708780547,0.560872127,0.288144109,-0.146437015,0.01126977
1855,"DVL1",6.239801224,6.209963888,6.112509882,6.19136609,6.35410274,6.582648937,5.631968361,5.814338347,6.034599883,5.783889603,5.903613645,5.940060979
54587,"MXRA8",5.20612831,4.281417349,4.782586526,5.132419712,5.394050031,5.22404168,4.098809364,4.225181001,4.298393494,4.231621007,4.432130589,5.424712493
54998,"AURKAIP1",6.014007951,6.165749631,5.840476427,5.633405963,6.089251814,6.223006779,5.712908181,5.918682855,5.902527555,5.651200643,5.907462723,6.678598855
81669,"CCNL2",7.133029759,7.346023582,7.576773188,7.986865432,7.372897119,7.222003714,7.5264375,7.489760078,7.79811666,7.279835617,6.995111718,6.854573074
148413,"MRPL20-AS1",3.85117283,3.809428204,4.003877074,3.765937583,3.84093699,3.975080889,3.84921445,3.785168896,3.988600777,3.858351949,3.857724361,4.037484023
55052,"MRPL20",5.638100506,5.825952785,5.567088509,5.406359957,5.769064208,5.797279704,5.592862276,5.671979629,5.565360355,5.485206535,5.648509369,6.410756227
64856,"VWA1",4.839176845,3.026304407,4.209697323,4.237685654,4.899602729,4.92331777,3.119161731,3.780307055,3.069379146,3.736001607,4.027680143,5.272759536
219293,"ATAD3C",0.930613872,0.592858793,1.000101961,1.1569232,0.539357325,0.896820575,1.308549017,1.131588817,0.677915581,0.359675197,0.088694866,0.193384733
83858,"ATAD3B",4.559379305,4.992335292,5.217615805,5.382662476,5.141719794,5.081501164,5.18855575,5.182998898,5.425892912,4.527894984,4.453349791,4.478790849
55210,"ATAD3A",5.389431561,5.605352307,5.537147044,5.554025733,5.552818779,5.553678841,5.473291318,5.535819261,5.660881306,5.518797104,5.548529841,5.511612864
339453,"TMEM240",1.743251296,1.85392703,2.328830901,1.994125624,2.202302997,2.568216088,1.788300129,1.552427049,2.076494576,2.133090756,1.919224172,1.877611695
29101,"SSU72",6.449195941,6.515972869,6.27409608,6.26300632,6.613853263,6.593946132,6.201629061,6.233461032,6.429376051,6.270396627,6.451731049,7.002270497
643988,"FNDC10",4.742930922,4.794151913,3.989983791,4.060606589,4.683017552,4.951696448,1.53391372,2.300856573,3.820562291,3.308981041,3.863019676,4.378899422
142678,"MIB2",6.586070064,6.988075971,6.917102317,6.903160239,7.126972944,7.338075741,6.833042393,6.765824704,7.093951378,6.622703245,6.491593076,6.239230098
8510,"MMP23B",4.072081618,5.464368809,5.506570985,5.426112052,5.368750779,5.218213128,5.207755847,5.294611507,5.626708213,5.265368337,5.48983797,4.419080141
984,"CDK11B",6.046824906,5.936848607,5.76362234,5.813259527,6.046935571,6.338553615,5.916672011,5.975086037,5.855154982,5.856778657,5.875068845,6.159370338
728661,"SLC35E2B",6.792493465,7.076706497,6.785888433,7.07337324,6.927500478,6.850957951,6.727722023,6.719589307,7.100519048,7.081885471,7.011894765,6.294275706
