"ENTREZID","SYMBOL","17.3_CX.5461_0.1_3","84.1_CX.5461_0.1_3","84.1_VEH_0.1_3","90.1_CX.5461_0.1_3","90.1_VEH_0.1_3","17.3_VEH_0.1_3","75.1_CX.5461_0.1_3","75.1_VEH_0.1_3","78.1_CX.5461_0.1_3","78.1_VEH_0.1_3","87.1_CX.5461_0.1_3","87.1_VEH_0.1_3"
84838,"ZNF496",5.524132581,5.806048576,5.738073503,5.881791618,5.937296347,5.668807883,5.861169662,5.787171543,5.712939054,5.697779483,5.572450902,5.7120492
25893,"TRIM58",4.804002058,4.987169739,5.026061122,4.222780432,4.270428034,5.038963037,2.802632401,2.031940535,3.346372918,3.446494296,3.860573664,4.280359486
343171,"OR2W3",0.95636142,1.617081831,1.250638522,1.249414963,0.631968993,1.482231461,-0.51145906,-2.260342124,-1.036993789,-1.723200034,0.288124178,0.657671085
80851,"SH3BP5L",5.700407475,5.774232716,5.554984185,6.18077886,6.135494136,5.85597088,5.778495506,5.811625048,5.684980676,5.638487332,5.789324296,5.984198179
79894,"ZNF672",5.730149354,5.879090814,5.94480251,6.146461982,6.233386229,5.970232323,5.756068064,5.724160518,5.580459093,5.658523361,5.950828203,6.118547274
55657,"ZNF692",4.808857946,5.084273823,4.773980377,4.849989121,4.651446665,4.783139733,4.291172701,4.415723193,4.551503492,4.485195272,4.184472756,4.70709868
267002,"PGBD2",2.616255833,2.550139165,2.760343156,2.312329526,1.88499444,2.542197925,2.03151882,1.916432398,2.413895172,2.148274505,2.455961399,2.364129498
10771,"ZMYND11",7.114787499,7.024121704,7.197498283,6.932169279,6.961113012,7.003098663,7.200971528,7.198110077,7.014551723,6.997052415,7.162490647,7.118057634
22982,"DIP2C",5.895629869,6.354189163,6.211666134,6.16181479,6.333999707,6.263500343,6.204914522,6.293784418,6.349631339,6.353329006,5.861665044,6.184118253
23185,"LARP4B",6.922086747,6.737944474,6.728249105,6.692468857,6.658407428,6.902519883,6.703201614,6.679847391,6.542258817,6.563744724,6.457904102,6.578246796
23560,"GTPBP4",6.556104058,6.380590814,6.323964089,6.456600247,6.358751181,6.351141434,6.187273667,6.161573338,6.301340575,6.249590609,6.330784649,6.311069957
91734,"IDI2",2.322322579,2.019858671,2.281542326,1.589288682,1.741798472,2.081853429,1.718722109,1.936337462,1.750023742,1.994627143,2.455961399,2.084583963
3422,"IDI1",5.72244952,5.443387225,5.556570423,5.702690528,5.638390357,5.4784236,5.318287133,5.12407632,4.98837228,4.880800774,5.344413641,5.211777828
22884,"WDR37",5.235840967,5.225415225,5.151017932,5.156260732,5.11289381,5.37421634,5.092614734,5.050644266,4.994893772,5.033269988,4.873016116,5.033507923
101927824,"PFKP-DT",0.95636142,-0.035767001,0.585198856,0.855229329,-0.318634163,0.477148808,-0.073173482,0.500724813,-0.199506403,-0.152005386,-0.59413071,0.433825961
5214,"PFKP",9.25941476,10.1700665,10.26805361,10.85469188,10.81516244,9.78692142,10.33018997,10.25067169,9.991151144,10.06124369,10.54949309,10.67122082
10531,"PITRM1",6.893228545,6.762090081,6.772600408,6.328676022,6.261785114,6.6881568,6.745335329,6.614172549,6.647414999,6.589318602,6.629768317,6.535692277
