,CX.5461_0.1_3,CX.5461_0.1_24,CX.5461_0.1_48,CX.5461_0.5_3,CX.5461_0.5_24,CX.5461_0.5_48,DOX_0.1_3,DOX_0.1_24,DOX_0.1_48,DOX_0.5_3,DOX_0.5_24,DOX_0.5_48
126789,-0.071870639,-0.085282283,0.099538769,0.06424769,0.124370613,-0.037793518,0.019485386,-0.848165101,-0.507459479,-0.049846979,-0.880915539,-0.870243256
54973,-0.02054904,0.017407158,0.143461666,-0.055663505,0.008497973,-0.095112549,0.007955188,0.095167542,0.156826923,0.063876798,0.06924524,0.03574856
80772,-0.125661298,0.178872879,0.330509348,0.092225324,0.157550978,0.210686388,-0.024441429,-0.057777552,0.048304438,-0.030891893,-0.623250279,-0.53939138
83756,-0.327251456,-0.128159063,0.004727215,-0.155972105,-0.063162675,-0.225273499,-0.242541587,0.581013936,0.451150762,0.28029603,1.331670201,1.492424285
1855,-0.033695808,0.055498515,0.111131393,0.00901686,-0.155761611,0.007848171,0.014323877,-0.173917536,-0.056222111,0.069442731,-0.208313768,-0.419340261
54587,0.072412964,-0.034949017,0.238558638,-0.072793337,-0.005495015,-0.001088019,0.180425207,-0.340033288,-0.222099484,0.054452221,-0.387525173,-1.22392088
54998,-0.03659078,0.02646351,0.057769667,0.023591255,0.032621195,-0.018616194,0.132758167,-0.058979374,-0.025664972,0.258891788,0.0220024,0.053975189
81669,0.123359696,0.113840287,0.207552041,0.032821047,0.06257808,-0.000326494,0.130782106,0.383004117,0.200242075,0.2357517,0.894637928,0.211947348
148413,0.024931798,0.017883093,0.139910689,0.008934937,0.1149772,0.190466006,0.058639602,-0.039661226,0.048653254,-0.049320324,-0.021831929,0.352386744
55052,-0.069165033,-0.12504817,-0.072814962,0.047206395,0.098580263,-0.094605384,0.014013497,-0.188520905,-0.110071224,0.144890664,-0.283768759,-0.061101615
64856,-0.044187095,0.080912518,0.179505769,-0.023693108,-0.043814115,0.07519837,0.221813052,-0.388339845,-0.767732846,0.152998232,-0.237723406,-1.176814272
219293,-0.027603552,0.3511806,0.466808218,0.115653602,-0.117023819,-0.147082837,0.097140182,-0.192404851,0.108565518,0.258172846,-0.333158877,-0.531491846
83858,0.04517561,0.087048244,0.142385108,-0.013475458,0.072509687,0.006876487,0.035643052,-0.263730396,-0.165104237,0.138738238,-0.224578265,-0.237989745
55210,0.025469745,0.022604305,0.08689951,0.092244282,0.034806616,-0.040883614,0.005622286,-0.638688596,-0.367437985,0.040761148,-0.918619546,-1.047746438
339453,-0.190850807,0.019308307,-0.058708378,0.065709951,0.160403015,-0.155453189,-0.058580463,-0.790914448,-0.803457268,-0.032866725,-1.504576606,-1.201148449
29101,-0.117219394,-0.113803645,-0.103295575,-0.048814522,0.072122568,-0.040207183,-0.045147861,0.019156819,0.160145891,0.050701577,-0.151958306,0.184972716
643988,-0.21849089,-0.103588119,0.001773986,-0.248211652,-0.433710489,-0.246496675,-0.046722683,-0.848212853,-0.53242917,0.181789118,-0.525884952,-0.767283726
142678,-0.068202116,0.182632684,0.293098872,-0.036451347,-0.017935225,0.097140422,0.082890399,0.593947382,0.353084366,0.224161018,1.189923273,1.191607421
8510,-0.110427562,0.046977526,0.115596781,-0.064669545,0.098886399,-0.098147201,0.001984637,-0.89045913,-1.336070607,0.155917351,-0.615187335,-1.610364213
984,0.033063464,-0.045795084,0.109492541,-0.02103631,-0.041150139,-0.054953941,0.023802437,-0.071099008,0.019173809,0.068663971,-0.028586181,0.331431907
728661,0.023255844,0.030369883,0.092593311,-0.130287668,-0.079492056,-0.024206156,-0.034446899,-0.232374081,-0.033706305,-0.170100512,-0.729480242,-0.367462378
8511,0.035651425,-0.097258034,0.083471974,-0.012266067,0.158481338,-0.122498415,0.079683823,-0.859851657,-1.328743107,0.179974348,-0.567076236,-1.476741597
728642,0.070172348,-0.01605997,0.147389068,-0.030256508,0.029383934,-0.018600843,0.074916019,0.093802867,0.064899709,0.061495142,0.176759259,0.522313511
9906,0.028043706,0.039770476,0.146730369,-0.115630967,-0.048909442,0.011576679,-0.045548268,-0.249787788,-0.051905886,-0.125564619,-0.667019112,-0.316633421
65220,-0.080974701,-0.089329494,-0.042373118,-0.038535064,-0.131550169,-0.127266941,0.056510803,0.012202991,-0.00802463,0.115159622,0.168001641,0.322392212
2782,-0.091486681,-0.068391067,-0.098479541,-0.011042438,-0.102045472,0.001229913,0.002659065,-0.066869506,0.00370934,-0.00639829,-0.509795245,-0.690918819
105378949,-0.133070426,0.073828296,0.685391128,0.021964097,0.403445282,0.618426695,0.107850668,0.673435338,1.019024893,0.080731388,1.280586668,1.191356021
5590,-0.087384204,0.009666129,0.114770198,-0.081660029,-0.04651194,0.057219341,-0.065784123,-0.639769149,-0.373268646,-0.097039875,-1.869394981,-1.436422893
100506504,0.081068917,0.123091059,0.060630492,0.119448458,-0.119467531,-0.050807688,-0.232469379,-0.207225102,0.075800592,-0.410399513,-0.483607034,0.394624667
199990,-0.056276786,-0.078278046,0.075717406,-0.028045191,0.081963738,-0.014856514,0.091367487,-0.220918788,-0.158337802,0.128628567,-0.05124149,-0.093980715
6497,0.021215618,-0.017525567,0.051514744,0.04692153,-0.081859819,0.151679396,-0.049331398,0.153238613,-0.004828679,-0.358877502,0.705264556,0.635699468
79906,0.135647301,0.092917833,0.009798571,0.04125899,-0.08502498,0.123353367,0.076600073,-0.092278894,-0.00832521,-0.033969142,0.45104725,1.097895357
100129534,0.006841013,-0.098121502,0.394585931,0.1769363,-0.013661072,-0.226533551,-0.317975338,-0.010166952,0.474631968,0.328914391,1.212804128,1.461295444
11079,0.065191247,0.068090865,0.073294967,0.091974714,0.159312763,0.030052649,0.092447401,0.163956257,0.061618027,0.157037795,0.290884947,0.268399362
5192,-0.034689727,0.04316272,0.136265646,-0.08058609,0.017474118,0.119160944,0.138839807,0.190582188,0.46263372,0.021319506,-0.452206588,-0.06771063
55229,-0.023769043,0.095320079,0.109670503,-0.019342607,-0.074238851,-0.008359062,-0.035710497,-0.133362482,-0.124577021,0.029358562,-0.481168153,-0.322641098
127281,-0.049731485,-0.160539243,-0.018294794,-0.056511969,-0.142795609,-0.255442405,0.024544927,-1.245010147,-0.831653883,-0.040388273,-1.584920053,-1.427606708
440556,-0.154299287,0.07712289,0.221702072,-0.175991438,-0.072511309,-0.144727148,-0.235197452,-0.355415902,-0.609728156,-0.253790854,0.172826665,-0.702125049
63976,-0.155796141,0.008801547,0.155517726,-0.222047908,-0.121410103,-0.078342122,-0.373006585,-0.908791983,-0.656193331,-0.414664924,-1.51312851,-2.638456151
27237,-0.047880203,0.054920612,0.183144684,-0.10943979,-0.099429534,-0.109633253,-0.091436071,0.381899808,0.506026338,0.124496979,0.285002704,0.181137534
1953,0.000626155,0.063785935,0.217470265,0.070918885,0.028475811,0.237196054,0.21142637,0.162668249,0.175696412,0.147827261,0.200360942,-0.486597579
127262,-0.144247379,0.048325491,0.044387346,0.006209628,-0.00085708,0.05797362,-0.076213399,0.006920291,0.083432271,0.029484741,0.259952389,0.739368575
49856,-0.043022884,-0.047741823,0.146833357,-0.101874442,-0.013658071,0.02446802,-0.019226431,0.066849751,0.177259005,-0.127437241,-0.118756596,0.163350711
57212,0.006570406,0.020926147,0.11702532,-0.024407038,-0.21570521,-0.0266387,0.023129931,-0.046368423,-0.024170946,0.122155545,0.395969016,-0.346795959
148870,-0.223543977,0.328375204,0.31163572,-0.560450985,-0.456018085,0.124461722,-0.152921547,0.113569596,0.546178005,-0.183989045,-0.341990364,-0.195710555
388588,-0.241891897,-0.013720832,-0.067130726,0.001800517,0.07815568,-0.222487117,-0.084550201,-0.683631237,-0.62457851,0.292723909,-1.784873013,-1.589682298
57470,-0.037197496,0.115849758,0.120838864,0.029716802,0.008099705,0.150026952,-0.001192484,0.072477502,0.043315383,0.123051648,0.149579389,0.322661518
9731,0.008854524,0.029939787,-0.006130713,0.040168767,-0.038972997,0.078390864,-0.073704192,0.032825146,0.020308502,0.001290977,0.708310936,0.561875303
1677,0.274968753,-0.007502752,0.094100748,0.032563245,0.035400381,-0.110899689,-0.100513702,-0.34979011,0.090946581,-0.471887263,-0.498766004,0.047606427
339448,0.077709987,-0.167809724,0.0691149,-0.013810192,-0.104716967,-0.01426443,0.025927405,-0.342421914,-0.138347404,-0.037918794,-1.00137252,-0.567074409
261734,0.181647882,-0.213382111,-0.032122185,0.045386588,-0.254305315,-0.226622206,-0.032907718,-0.474917733,-0.283880083,-0.084324676,-0.627317103,-0.392802659
8514,-0.140144265,0.165765818,0.153922844,-0.157875971,-0.203977903,-0.003413875,-0.170674374,0.274204245,0.531679409,0.15435464,1.523216652,1.807729774
6146,-0.110277491,-0.078485036,-0.243011628,-0.009134942,-0.000473596,-0.168492724,-0.011075112,-0.09524407,-0.170258459,0.104787708,0.101803833,-0.336414685
102724450,-0.087042688,0.208241398,0.382293395,0.164371549,0.074380449,0.417714106,-0.2385993,-0.759121377,-0.780083904,0.206000603,-1.124191806,-2.188950873
388591,0.094504823,0.094479194,0.301179087,-0.125349504,0.03548942,0.002412382,-0.037909238,-1.644040856,-1.375005207,0.067720867,-2.104757964,-3.626934647
23463,0.021327252,-0.066536816,-0.070679395,-0.027450481,-0.087264438,-0.131927353,0.02947526,0.135953119,0.256508407,-0.019800434,-0.454904541,-0.633720374
387509,-0.1030189,-0.164531308,-0.018889542,0.00222161,-0.226484421,-0.073218018,-0.005121331,0.802845311,0.478268181,0.266868194,2.121735169,1.927265816
11332,-0.015597742,-0.145257218,-0.227541156,0.086481413,-0.041858753,-0.206733711,0.169849703,0.084506251,-0.500149808,0.130562037,1.295530436,0.668348304
83715,-0.196196776,-0.077143807,0.505076505,-0.37820802,0.318587287,-0.023773892,0.160660844,1.817633127,2.002130558,0.33745932,5.34088884,6.106901001
8718,0.049626677,0.122904219,0.241328166,0.094850974,0.262638906,0.187083601,-0.095135876,0.14466155,0.218693901,0.041422469,-0.541364648,-0.491060878
57449,0.100403216,0.192883669,0.148199641,0.028382231,0.087156509,0.197180195,0.139982618,0.109831473,-0.001740061,0.109327736,-0.244832534,-0.825961218
79707,0.093989456,0.013356111,0.104416304,0.088325602,-0.009118083,0.076532227,-0.019814785,-0.085660871,-0.05700081,-0.063024264,0.146719054,0.307524401
3104,0.117322529,0.189363967,0.219084264,0.066938828,0.050842977,0.025245134,0.080963699,0.271830841,0.237663256,0.067019854,0.20711449,0.330498721
9903,-0.013678475,0.014196173,0.113336729,-0.032382848,0.051884709,0.191089494,0.02516374,0.008809672,-0.033942485,-0.009017352,0.150444774,0.255468171
148479,0.021352924,-0.08988022,-0.058515799,0.059193419,-0.093283732,-0.082753678,-0.165316881,-0.215730783,-0.240997554,-0.35259221,0.437877325,0.369624607
90326,-0.011084508,-0.098473715,0.036624625,-0.034853913,0.086120538,0.057694344,-0.034826822,-0.318122529,-0.218861214,-0.350421437,-0.188827115,0.021891806
55735,-0.044200862,0.029721047,0.058512572,0.032133117,-0.142902116,0.012963531,-0.072565154,-0.04201561,0.033260326,0.021455292,-0.497338453,-0.51536805
23261,-0.132671601,-0.181096084,-0.095887179,-0.054855691,0.054894414,-0.107019754,-0.022852805,-0.080911337,-0.06865168,0.195333005,0.25090334,0.385037859
9341,-0.156557644,-0.032135841,-0.03499261,-0.02433691,0.111875866,0.00477204,0.030112878,0.264391138,0.182518831,0.10241117,0.400854624,0.348920835
8863,-0.184641192,-0.205996876,-0.200929728,-0.313553208,-0.821880694,-0.622103137,-0.208844529,-1.711698424,-1.113425082,-0.151179946,-1.403897942,-1.165772963
3604,0.14549534,0.169616588,0.27134482,0.325309106,0.167768167,0.23206361,0.27000174,-0.496094062,-0.546898263,0.015781497,-1.309499969,-2.517837086
11315,-0.043552388,-0.121166843,-0.036284743,0.040688135,0.071700007,-0.086174674,0.066142228,-0.113485865,-0.048382731,0.166454348,-0.044333862,-0.133431707
54206,0.080241306,0.019948512,-0.111862907,-0.035510986,0.119867371,0.151273674,0.110330533,0.423783492,0.408534672,-0.699691014,-0.086789092,0.623827548
50651,-0.054824482,0.256111291,0.295656398,-0.104407475,0.10957452,-0.130210156,0.241331932,0.935858601,0.792732758,-0.059893498,0.173042555,0.432787711
473,-0.007008344,0.006965086,0.069860817,-0.09463068,-0.071248497,0.106909548,-0.145760586,0.06597248,0.203028196,-0.290990661,-0.00039378,0.145816465
2023,-0.262602716,-0.060114542,-0.035149855,-0.162481809,-0.37227738,-0.318480509,-0.090705306,-0.17224988,-0.144512646,0.160461354,-0.368941631,-0.97748883
80045,0.081532973,-0.052596633,-0.170916339,0.283811472,-0.462158072,0.073904645,0.015863543,-0.579005989,-0.652074716,-0.163988373,0.112207991,0.398343834
9563,0.122971023,0.14444128,0.227385487,0.025269464,0.081007076,0.21379655,0.057203191,0.003085903,0.049886383,-0.071468373,-0.30191839,-0.532439469
80176,-0.134534517,-0.114429586,-0.101697232,-0.120249669,-0.000986977,-0.01142714,-0.151305951,-0.05358225,-0.0040372,-0.438915539,1.337957347,1.524427936
84275,-0.147001824,-0.11293697,-0.293346856,-0.015175728,-0.13548088,-0.354654751,-0.092826505,-0.370283843,-0.390932706,0.196098646,0.454304344,0.068859653
