"ENTREZID","SYMBOL","87.1_CX.5461_0.5_48","87.1_VEH_0.5_48","17.3_CX.5461_0.5_48","17.3_VEH_0.5_48","84.1_CX.5461_0.5_48","84.1_VEH_0.5_48","90.1_CX.5461_0.5_48","90.1_VEH_0.5_48","75.1_CX.5461_0.5_48","75.1_VEH_0.5_48","78.1_CX.5461_0.5_48","78.1_VEH_0.5_48"
653635,"WASH7P",3.621627971,3.723734885,3.328201122,3.164893651,3.794184219,3.486031671,3.931173394,3.915305068,4.169506093,4.25509677,3.358210529,3.533785248
729737,"LOC729737",3.859894655,4.198993764,3.861967797,3.969134109,3.214610805,3.571840332,3.420081351,2.98308951,4.056729001,3.772804644,3.696974115,4.045148965
102723897,"LOC102723897",3.830958856,3.969588432,3.473598373,3.407689576,3.499082902,3.28050388,3.596454319,3.90445101,3.939103974,4.178903349,3.205284668,3.699268868
100132287,"LOC100132287",2.223025671,2.664169178,3.118156724,3.097225631,3.060991077,3.322369049,2.201911425,2.567489262,2.758961277,2.763989234,2.935292913,3.392173993
102465432,NA,4.996110398,4.868680316,6.533533561,6.414277868,5.54355327,5.76570716,5.588741677,5.48090346,4.388984383,6.549999234,5.188763719,5.644492904
100133331,NA,2.576788755,3.001401826,2.995085879,2.764789883,3.0176907,3.070538876,2.375674622,2.511366059,3.074312129,2.976098492,3.043733631,3.47177404
100288069,"LOC100288069",0.330062966,0.243519322,0.491050674,0.06095399,0.365423849,0.446463658,0.296425452,-0.070995221,0.771889763,0.45077206,0.837213163,0.108862891
79854,"LINC00115",0.273834373,-0.169225035,0.071045028,-0.306992028,0.571108031,-0.692399477,-0.141016495,-0.070995221,0.854182648,0.055672688,0.25033971,0.789164156
643837,"LINC01128",5.821817206,6.121414342,6.006701812,6.20174406,5.788640959,6.192149711,4.976185388,5.158900654,5.705230995,5.916413141,5.465363917,5.518950361
100130417,"LINC02593",0.714996465,0.051857466,0.491050674,0.214833939,0.125460586,1.35858504,0.296425452,0.368756439,-0.404828387,-0.153579103,-0.894064277,-0.308159157
148398,"SAMD11",0.215325099,0.701072018,1.695809844,0.943934664,1.30607831,1.258623073,0.164818691,0.892717264,-0.725035609,0.119182205,-0.512629198,0.179535503
26155,"NOC2L",6.546395163,6.488585576,6.708593413,6.488786378,6.596674305,6.350257577,6.784347158,6.705552393,6.470969218,6.436154711,6.55311703,6.470519411
339451,"KLHL17",3.776353855,3.851892404,4.38749755,4.459545186,4.66233147,4.449415463,4.198471821,3.915305068,3.635991761,3.983711782,3.69092286,4.059273859
57801,"HES4",5.703084563,5.881814115,5.691975793,6.084325545,5.806561213,5.825158228,6.147282929,6.033954608,5.411119936,5.481583209,5.214302094,6.151433062
9636,"ISG15",3.552409882,3.453299679,3.832312789,3.753726977,3.819619902,3.128325802,3.765002605,3.589094485,3.244168501,3.220111913,2.893747597,3.421630116
375790,"AGRN",9.762761465,9.454890057,10.28466657,10.09097818,10.49365077,10.14879778,10.21505951,9.624797841,10.16469341,9.809977792,10.10169138,9.989621599
54991,"C1orf159",3.422661985,3.685712007,3.640313896,3.642830624,3.467248657,3.698056804,3.583626831,3.424106221,3.340102225,3.594350385,3.071946539,3.553877152
51150,"SDF4",8.512155916,8.315239137,8.633794958,8.60072729,8.672739264,8.496983045,8.433743012,8.24077248,8.348504427,8.271285041,8.247306688,8.326425212
126792,"B3GALT6",6.295055708,6.24235016,6.320441098,6.503797302,6.38126642,6.126315306,6.409601674,6.131427467,6.40253761,6.367526348,6.336676985,6.587221258
388581,"C1QTNF12",-0.19651292,-1.160088741,-0.101370478,-0.205841469,1.088974358,1.223701663,0.86155617,0.236527209,0.492434576,-0.010761868,-0.040442283,0.034549141
118424,"UBE2J2",5.823042258,5.651817572,5.871818435,5.743794062,5.666397057,5.521609968,5.891626398,5.846783391,5.671582959,5.747077383,5.563017949,5.76142064
6339,"SCNN1D",2.430147695,2.49858851,3.361801545,2.962459723,3.077953776,3.183886949,3.004898405,2.328572367,2.382814467,2.093170391,2.550356455,2.825390237
116983,"ACAP3",6.077241011,6.11631869,6.820062642,6.636561234,6.780177188,6.72272882,6.640800756,6.251923095,6.444649019,6.382163053,5.953870227,6.128170749
126789,"PUSL1",3.081471496,2.947333319,3.057933242,3.256367969,3.060991077,3.11885396,3.22737394,3.148609998,3.133181112,3.212851954,2.72633996,3.095902655
54973,"INTS11",5.899357738,6.061168454,6.074132466,6.095516333,6.02347247,6.078253651,6.068913477,5.967719696,5.613697926,5.924213199,5.851797657,6.227414719
80772,"CPTP",5.252191157,4.971587368,5.023535817,4.735501824,5.064586742,4.701821735,5.380175624,5.083918673,4.903137921,5.062118633,4.848964668,4.895944451
83756,"TAS1R3",0.330062966,0.656834569,0.815951466,0.853079687,0.911095127,1.035164369,0.528314284,1.058553396,0.638918051,0.91173071,-0.628917892,-0.408262347
1855,"DVL1",6.206773856,6.083273266,5.91489766,5.960582951,6.115685181,5.925003076,6.235006023,6.199607756,5.689906329,5.953910196,5.814712324,6.065406101
54587,"MXRA8",4.747841098,4.967065625,3.908183276,4.420526659,4.698428216,4.453189045,5.309873412,4.9076169,4.495388785,4.551193972,4.2183316,4.366208241
54998,"AURKAIP1",6.035576673,5.880612485,5.742274162,5.727901141,5.581219596,5.565850805,5.898116618,6.022706309,6.023531567,6.126105068,5.626217961,5.945052824
81669,"CCNL2",7.21465441,7.427313079,7.362151711,7.374626687,7.669438745,7.668651258,7.429479294,7.33519104,7.276667957,7.192097704,7.145313325,7.357458857
148413,"MRPL20-AS1",4.064331845,3.851892404,3.861967797,3.815188036,3.926497641,3.564881354,3.915903381,3.615956539,3.841611186,3.747905923,3.818517617,3.95232905
55052,"MRPL20",5.544287928,5.636237791,5.342440227,5.47148951,5.30326772,5.35007001,5.502776573,5.774112804,5.539469779,5.656329858,5.509010536,5.672329563
64856,"VWA1",4.842697318,4.497506383,3.078288346,3.485369166,3.752530683,3.578765903,4.434656946,4.259938458,3.910541605,3.622018764,3.590482881,4.016477408
219293,"ATAD3C",0.535330095,0.74399327,0.150094888,0.652163204,0.751093706,0.319911581,0.473741946,0.236527209,1.076163889,1.695008512,-0.21124476,0.179535503
83858,"ATAD3B",4.494660412,4.61199073,5.158710226,5.053757097,5.087801918,5.101059777,4.900626377,4.722266652,5.021387118,5.10196252,4.547885739,4.826068951
55210,"ATAD3A",5.395773427,5.473612871,5.558883156,5.556730837,5.400866246,5.378130522,5.369005444,5.404000167,5.50485874,5.583611802,5.431286292,5.755649378
339453,"TMEM240",1.711594356,2.145352137,0.909803089,1.631298833,2.347180684,1.799033604,2.060944772,2.061753634,1.438185547,1.394902402,1.794667869,2.435542796
29101,"SSU72",6.365690489,6.309076693,6.270454007,6.368883157,6.25084356,6.332952944,6.582356549,6.66593363,6.103517352,6.234936153,6.407577792,6.568414797
643988,"FNDC10",3.996459916,4.061534619,3.674141029,3.925207825,3.859406638,4.453189045,4.138340004,4.185677095,1.516087011,1.889684612,3.482523544,3.947274368
142678,"MIB2",6.764844821,6.739857398,6.741672078,6.558736941,6.906026314,6.768121752,6.941530344,6.833371765,6.794514774,6.7087405,6.525330144,6.739718359
8510,"MMP23B",3.72485316,4.115650079,5.453743449,5.560325137,5.330064327,5.273170646,5.127466994,4.752843967,5.376730433,5.402423983,4.899692605,5.641366524
984,"CDK11B",5.965195849,6.072789395,5.789335269,5.878022279,5.801463813,5.758100515,6.183864936,6.255130662,5.736756922,5.950640557,5.939905435,6.087398514
728661,"SLC35E2B",6.790747127,7.012017021,7.018103224,7.091939321,6.968190915,7.098987431,7.013835235,6.973030295,6.589823555,6.584863762,7.224424346,7.246614925
8511,"MMP23A",4.469847827,4.781234911,6.173266474,6.379095028,6.189731759,6.120394433,5.801717252,5.589925983,5.851392036,6.152907145,5.889275392,6.338722618
728642,"CDK11A",5.342095603,5.408403694,5.845339611,5.753246451,5.613571539,5.663547883,5.901996782,5.849615437,5.136852014,5.363614301,5.8652946,6.03356551
9906,"SLC35E2A",5.124866852,5.494186635,6.055002613,5.94141553,5.687273691,5.741223371,5.482189321,5.370870777,5.94238106,5.873318005,6.18024357,6.223238795
65220,"NADK",5.477397318,5.770745815,5.459574452,5.569271905,5.522022497,5.613841401,5.385728448,5.53292484,5.330762373,5.447967387,5.341429513,5.598483578
2782,"GNB1",8.45739525,8.393146674,8.24697051,8.317691486,8.27763333,8.27351684,8.602601936,8.643974493,8.116284479,8.289732081,8.243435697,8.276163377
105378949,"GNB1-DT",0.672133673,0.243519322,0.071045028,-0.022613345,0.365423849,-0.832377869,0.944161121,0.090944398,-0.503872173,-0.806948714,-0.123317306,-0.408262347
5590,"PRKCZ",5.394125877,5.322515395,5.1894445,5.215222973,4.967799667,4.733198551,5.456035122,5.566018168,5.169361533,5.247620683,5.218514881,5.216865903
100506504,"PRKCZ-AS1",0.672133673,0.464927851,1.586369106,1.546855078,1.088974358,1.775113572,1.389589806,1.097196154,0.542933127,0.838145164,1.1511161,1.28208942
199990,"FAAP20",4.871400954,4.895103377,4.90887954,4.928636167,5.066712717,4.860845029,5.093937285,5.034995503,5.056572687,5.121479272,4.685111393,5.180712522
6497,"SKI",6.308237831,6.279294273,6.50091847,6.487842989,6.595938463,6.418437736,6.574273928,6.427090978,6.363556871,6.236726964,6.615145943,6.460797816
79906,"MORN1",2.377756937,2.394673276,2.04511571,2.365323038,2.493429725,2.484665352,2.718466498,2.376487528,2.190311879,1.756218103,2.270953678,2.315145428
100129534,"LOC100129534",0.215325099,0.515350276,0.071045028,-0.022613345,0.30907025,0.670459356,0.357984443,1.276258589,-0.312149522,-0.490221631,0.112262407,0.372888549
11079,"RER1",6.951168239,6.929590854,7.109328185,7.141370983,7.101184607,7.141705174,7.002434929,6.921472519,7.150546561,7.166020432,7.053969863,7.145973643
5192,"PEX10",3.835821971,3.623860319,3.832312789,3.844963783,3.87404826,3.672387068,4.168719178,3.994207539,3.664780755,3.691567469,3.577421579,3.681115269
55229,"PANK4",5.707071156,5.891391294,5.605209877,5.650765654,5.669198124,5.705283616,5.675926985,5.686541552,5.713521798,5.726832604,5.543001345,5.557607492
127281,"PRXL2B",4.392742004,4.744716636,3.694063027,4.165985444,4.034715322,4.310707841,4.652992737,4.613171425,4.012616157,4.437447502,4.272013651,4.570679284
440556,"PRDM16-DT",3.376683301,4.005309915,2.376300364,2.491170731,3.206920679,3.894025766,3.683188475,3.254975543,4.255296552,4.12577616,4.479322068,4.696506546
63976,"PRDM16",4.974223137,5.200699003,4.784318258,4.748163548,5.075185427,5.518011391,5.151569457,5.172536033,5.677245746,5.582203909,5.936073278,6.090840558
27237,"ARHGEF16",1.531476188,1.487455325,3.41077895,3.60852302,2.31892046,2.484665352,2.965888333,2.87604446,2.311781745,2.932567065,2.628420275,2.674510559
1953,"MEGF6",6.340247879,6.063288327,6.622851298,6.524185571,6.944686302,6.690321813,6.683506572,6.096089674,6.373183205,6.32101645,6.757296291,6.867627639
127262,"TPRG1L",5.648849723,5.563219829,5.833413425,5.854793916,5.531289345,5.455420923,5.672902275,5.688124606,5.57478761,5.649624127,5.510729231,5.472207694
49856,"WRAP73",3.740497319,3.745020623,3.850178841,3.766230441,3.768292026,3.619635359,3.831615852,3.854571127,3.396116689,3.435015747,3.468442374,3.740759502
57212,"GFOD3P",4.883194278,5.202623584,5.205726468,5.277690085,5.173156829,5.304841699,5.223619652,5.21048412,5.490456824,5.308486787,4.899692605,4.989886918
148870,"CCDC27",1.117724469,0.656834569,0.66262793,0.540134233,0.984898782,1.258623073,1.266574601,1.405051553,0.492434576,0.34848248,0.792699684,0.695807215
388588,"SMIM1",0.672133673,1.013251284,0.863640309,1.186508652,0.522370312,0.864305722,0.944161121,1.058553396,1.268500506,0.838145164,0.699327652,1.54556346
57470,"LRRC47",6.722146188,6.646090264,6.558199441,6.341988979,6.410018041,6.308164019,6.741680529,6.642446163,6.686350118,6.473844815,6.536340467,6.597743548
9731,"CEP104",5.312745586,5.295719155,5.275702164,5.266731779,5.106522164,5.117798934,5.266388037,5.249605358,5.296219173,5.235133135,5.19519082,5.075770245
1677,"DFFB",1.149321567,1.863350713,2.04511571,1.858492398,1.927958068,2.058843484,1.752555954,1.981400605,1.74901468,1.814936092,1.81706594,1.721665483
339448,"C1orf174",3.676876334,3.75554687,3.777347496,3.850845891,3.560718516,3.612903678,3.820725051,3.712456679,3.124916904,3.416174771,3.439860892,3.392173993
