"Symbol","TS_Score","Entrez_ID"
"CDHR1",5,"92211"
"CDHR3",5,"222256"
"CDIN1",5,"84529"
"CDK18",6,"5129"
"CDK5R1",5,"8851"
"CDKN2D",4,"1032"
"CDKN3",5,"1033"
"CEBPA",5,"1050"
"CEL",545,"1056"
"CELA2A",5427,"63036"
"CELA2B",3898,"51032"
"CELA3A",5176,"10136"
"CELA3B",2862,"23436"
"CEND1",4,"51286"
"CEP170",5,"9859"
"CERCAM",5,"51148"
"CERS1",6,"10715"
"CES1",9,"1066"
"CFAP77",7,"389799"
"CFB",20,"629"
"CFH",6,"3075"
"CFI",5,"3426"
"CFL2",5,"1073"
"CFP",6,"5199"
"CGA",6,"1081"
"CHADL",7,"150356"
"CHCHD3",4,"54927"
"CHMP1B",6,"57132"
"CHN1",19,"1123"
"CHRNA10",22,"57053"
"CHRNE",8,"1145"
"CIDEA",18,"1149"
"CIDEC",7,"63924"
"CKM",11,"1158"
"CKMT2",28,"1160"
"CLCN5",4,"1184"
"CLCNKB",5,"1188"
"CLDN11",6,"5010"
"CLDN15",7,"24146"
"CLDN18",51,"51208"
"CLDN9",4,"9080"
"CLDND1",13,"56650"
"CLDND2",5,"125875"
"CLEC7A",5,"64581"
"CLIC6",10,"54102"
"CLIP2",4,"7461"
"CLPB",11,"81570"
"CLPS",3971,"1208"
"CLTCL1",6,"8218"
"CLTRN",8,"57393"
"CMTM5",12,"116173"
"CMYA5",5,"202333"
"CNP",18,"1267"
"CNTNAP3C",8,"100289279"
"COCH",5,"1690"
"COIL",5,"8161"
"COL11A2",4,"1302"
"COL23A1",6,"91522"
"COL6A6",14,"131873"
"COL9A2",5,"1298"
"COQ10A",7,"93058"
"COQ8A",7,"56997"
"CORIN",7,"10699"
"CORO1A",5,"11151"
"COX6A2",46,"1339"
"COX7A1",18,"1346"
"CP",4,"1356"
"CPA1",5399,"1357"
"CPA2",414,"1358"
"CPB1",2733,"1360"
"CPLX1",9,"10815"
"CPLX3",5,"594855"
"CPNE5",4,"57699"
"CPS1",5,"1373"
"CPT1B",4,"1375"
"CRHR2",5,"1395"
"CRIP2",4,"1397"
"CSGALNACT2",5,"55454"
"CST1",120,"1469"
"CST2",638,"1470"
"CST4",516,"1472"
"CST6",22,"1474"
"CST7",7,"8530"
"CSTB",8,"1476"
"CTH",5,"1491"
"CTNNA3",10,"29119"
"CTNND2",5,"1501"
"CTRB1",5240,"1504"
"CTRB2",3540,"440387"
"CTRC",3944,"11330"
"CTRL",1187,"1506"
"CTSG",157,"1511"
"CTXN1",8,"404217"
"CUTC",7,"51076"
"CXCL13",8,"10563"
"CXCL2",5,"2920"
"CXCL6",5,"6372"
"CXCL8",7,"3576"
"CXCL9",10,"4283"
"CYB5B",4,"80777"
"CYP11A1",26,"1583"
"CYP19A1",15,"1588"
"CYP21A2",45,"1589"
"CYP27A1",5,"1593"
"CYP2E1",307,"1571"
"CYP2J2",4,"1573"
"CYP2U1",7,"113612"
"CYP39A1",4,"51302"
"CYP46A1",10,"10858"
"CYS1",4,"192668"
"DCAF6",4,"55827"
"DCD",7,"117159"
"DCK",4,"1633"
"DCUN1D1",7,"54165"
"DCXR",7,"51181"
"DDIT4L",9,"115265"
"DDX20",6,"11218"
"DEAF1",5,"10522"
"DECR2",5,"26063"
"DEFA1",35,"1667"
"DEFA3",63,"1668"
"DEFA4",59,"1669"
"DEFB1",5,"1672"
"DEGS1",4,"8560"
"DENND1C",4,"79958"
"DEPDC7",6,"91614"
"DGAT2",7,"84649"
"DHODH",8,"1723"
"DHRS11",8,"79154"
"DHRS7C",66,"201140"
"DIRAS3",4,"9077"
"DLG4",6,"1742"
"DLK1",4,"8788"
"DMGDH",18,"29958"
"DMKN",13,"93099"
"DNAAF3",5,"352909"
"DNAJC18",5,"202052"
"DNAJC25",6,"548645"
"DNAJC5G",15,"285126"
"DNAJC6",6,"9829"
"DNASE1L3",6,"1776"
"DNM1",5,"1759"
"DOC2A",4,"8448"
"DOCK2",4,"1794"
"DSC1",8,"1823"
"DSG1",18,"1828"
"DTNA",5,"1837"
"DUSP15",4,"128853"
"DUSP26",4,"78986"
"EBI3",4,"10148"
"EBLN2",4,"55096"
"ECT2L",5,"345930"
"EDIL3",4,"10085"
"EEF1A2",5,"1917"
"EGF",4,"1950"
"EHHADH",11,"1962"
"EID3",9,"493861"
"ELANE",92,"1991"
"ELMOD1",7,"55531"
"EMILIN3",5,"90187"
"ENC1",7,"8507"
"ENHO",24,"375704"
"ENO2",7,"2026"
"ENO3",25,"2027"
"ENPP2",4,"5168"
"ENPP5",5,"59084"
"EPC1",5,"80314"
"EPHA7",5,"2045"
"ERICH2",10,"285141"
"ERICH4",14,"100170765"
"ERO1B",4,"56605"
"ESRRB",6,"2103"
"ETNPPL",7,"64850"
"EVA1A",8,"84141"
"EVI2A",4,"2123"
"EXOC3L1",5,"283849"
"EXOC6",4,"54536"
"EXTL1",7,"2134"
"F5",6,"2153"
"FABP3",13,"2170"
"FABP4",8,"2167"
"FABP6",85,"2172"
"FAIM",6,"55179"
"FAM107A",5,"11170"
"FAM131C",5,"348487"
"FAM151A",7,"338094"
"FAM161A",5,"84140"
"FAM163B",9,"642968"
"FAM169A",4,"26049"
"FAM181B",8,"220382"
"FAM216A",4,"29902"
"FAM216B",8,"144809"
"FAM228A",17,"653140"
"FAM229A",12,"100128071"
"FAM229B",4,"619208"
"FAM240C",6,"285095"
"FAM81A",4,"145773"
"FAM81B",9,"153643"
"FBN2",15,"2201"
"FBXO2",5,"26232"
"FBXO32",5,"114907"
"FBXO40",96,"51725"
"FBXO41",4,"150726"
"FBXO5",6,"26271"
"FCGR2B",9,"2213"
"FCMR",6,"9214"
"FCN1",7,"2219"
"FCN3",8,"8547"
"FDCSP",27,"260436"
"FDX1",7,"2230"
"FDXR",7,"2232"
"FEM1A",11,"55527"
"FEZ1",26,"9638"
"FGA",386,"2243"
"FGB",372,"2244"
"FGF1",4,"2246"
"FGF12",4,"2257"
"FGFR2",6,"2263"
"FGG",330,"2266"
"FGR",6,"2268"
"FHIT",26,"2272"
"FHL1",7,"2273"
"FHL2",8,"2274"
"FHL3",26,"2275"
"FITM1",7,"161247"
"FITM2",4,"128486"
"FLT1",8,"2321"
"FMNL2",4,"114793"
"FMO3",41,"2328"
"FMO4",6,"2329"
"FMO5",6,"2330"
"FNDC5",8,"252995"
"FNTB",4,"2342"
"FOXC1",8,"2296"
"FRZB",4,"2487"
"FSBP",5,"100861412"
"FSD2",34,"123722"
"FTCD",6,"10841"
"FUOM",4,"282969"
"FUT4",8,"2526"
"FXR1",5,"8087"
"FXYD2",4,"486"
"FYB1",5,"2533"
"GABBR1",5,"2550"
"GABRA4",11,"2557"
"GAL3ST1",4,"9514"
"GALNT11",6,"63917"
"GALNT8",5,"26290"
"GAN",5,"8139"
"GAP43",31,"2596"
"GAPDH",4,"2597"
"GAPDHS",19,"26330"
"GAREM2",6,"150946"
"GARIN1A",8,"346653"
"GARIN5A",8,"112703"
"GAS7",4,"8522"
"GATM",13,"2628"
"GCA",5,"25801"
"GCG",13,"2641"
"GCHFR",5,"2644"
"GCNT1",5,"2650"
"GDAP1L1",7,"78997"
"GFAP",7,"2670"
"GGACT",6,"87769"
"GGCX",4,"2677"
"GH1",869,"2688"
"GHRH",4,"2691"
"GHRL",19,"51738"
"GJC2",11,"57165"
"GKAP1",4,"80318"
"GKN1",1856,"56287"
"GLIPR1L2",7,"144321"
"GLUD1",4,"2746"
"GLYCTK",11,"132158"
"GMFG",4,"9535"
"GNB1",7,"2782"
"GNB3",12,"2784"
"GNE",4,"10020"
"GNG7",18,"2788"
"GNGT2",8,"2793"
"GNMT",9,"27232"
"GOLGA8O",4,"728047"
"GOT2",5,"2806"
"GP1BB",5,"2812"
"GP2",964,"2813"
"GPC3",6,"2719"
"GPM6A",4,"2823"
"GPM6B",14,"2824"
"GPR137C",8,"283554"
"GPR85",5,"54329"
"GPSM3",4,"63940"
"GRAMD1B",4,"57476"
"GRAP2",18,"9402"
"GREB1",4,"9687"
"GRIK2",15,"2898"
"GRIN2A",5,"2903"
"GRIN2C",6,"2905"
"GRIP2",4,"80852"
"GRM1",4,"2911"
"GSG1L",9,"146395"
"GSTM5",6,"2949"
"GSTT2B",4,"653689"
"GSTZ1",5,"2954"
"GUCA1B",102,"2979"
"GUCA1C",7,"9626"
"GUCY2C",20,"2984"
"GYG2",4,"8908"
"GYPE",4,"2996"
"GYS1",5,"2997"
"GZMK",9,"3003"
"H2AC20",5,"8338"
"HAAO",7,"23498"
"HABP2",12,"3026"
"HAMP",5,"57817"
"HAPLN1",7,"1404"
"HAPLN2",86,"60484"
"HBA1",4,"3039"
"HBA2",5,"3040"
"HBB",11,"3043"
"HBD",57,"3045"
"HBG1",66,"3047"
"HBG2",129,"3048"
"HBM",26,"3042"
"HCN2",8,"610"
"HCN4",6,"10021"
"HGF",10,"3082"
"HHATL",8,"57467"
"HIPK2",5,"28996"
"HJV",6,"148738"
"HK3",4,"3101"
"HMBS",6,"3145"
"HMGB2",12,"3148"
"HMGCS2",7,"3158"
"HMGXB3",6,"22993"
"HMOX1",4,"3162"
"HP",85,"3240"
"HPCAL1",4,"3241"
"HPCAL4",11,"51440"
"HPD",5,"3242"
"HPR",6,"3250"
"HRC",50,"3270"
"HS3ST2",4,"9956"
"HSD11B1",13,"3290"
"HSD11B1L",4,"374875"
"HSD11B2",4,"3291"
"HSD17B1",12,"3292"
"HSD3B7",5,"80270"
"HSFX2",6,"100130086"
"HSPA1L",16,"3305"
"HSPA4L",4,"22824"
"HSPB2",6,"3316"
"HSPB3",17,"8988"
"HSPB7",8,"27129"
"HTN1",2616,"3346"
"HTN3",1103,"3347"
"HTR4",5,"3360"
"HVCN1",7,"84329"
"IDH2",4,"3418"
"IDI2",23,"91734"
"IDS",7,"3423"
"IFI6",11,"2537"
"IGF2",7,"3481"
"IGFBPL1",6,"347252"
"IGFL4",4,"444882"
"IGHD",5,"3495"
"IGHG1",7,"3500"
"IGHG3",11,"3502"
"IGHG4",4,"3503"
"IGHJ1",4,"28483"
"IGHJ4",7,"28477"
"IGHM",4,"3507"
"IGHV1-18",12,"28468"
"IGHV1-46",4,"28465"
"IGHV1-58",5,"28464"
"IGHV1-69-2",5,"28458"
"IGHV2-70",7,"28454"
"IGHV3-49",5,"28423"
"IGHV4-28",5,"28400"
"IGHV4-39",8,"28394"
"IGKJ1",5,"28950"
"IGKJ5",4,"28946"
"IGKV1D-16",4,"28901"
"IGKV2D-40",4,"28878"
"IGKV3-11",4,"28914"
"IGKV3D-15",6,"28875"
"IGKV6D-21",7,"28870"
"IGLJ3",7,"28831"
"IGLV10-54",7,"28772"
"IGLV1-44",4,"28823"
"IGLV3-27",7,"28791"
"IGLV4-69",4,"28784"
"IGSF1",5,"3547"
"IGSF21",7,"84966"
"IHO1",7,"339834"
"IKZF1",9,"10320"
"IL17D",6,"53342"
"IL17RB",4,"55540"
"IL18RAP",5,"8807"
"IL1RAP",6,"3556"
"IL1RL1",5,"9173"
"IL1RN",4,"3557"
"INCA1",4,"388324"
"ING3",4,"54556"
"INHA",6,"3623"
"INS",134,"3630"
"INSC",5,"387755"
"INSIG1",5,"3638"
"IP6K3",7,"117283"
"IQCD",6,"115811"
"IQSEC3",7,"440073"
"IRAG2",4,"4033"
"ISG20L2",5,"81875"
"ITGA4",4,"3676"
"ITGAM",8,"3684"
"ITIH4",38,"3700"
"ITLN1",4,"55600"
"IVNS1ABP",5,"10625"
"IZUMO4",24,"113177"
"JPH1",11,"56704"
"KANSL1L",7,"151050"
"KBTBD13",4,"390594"
"KCNA5",7,"3741"
"KCNB1",6,"3745"
"KCNE1",5,"3753"
"KCNG1",5,"3755"
"KCNJ12",7,"3768"
"KCNJ4",28,"3761"
"KCNK3",5,"3777"
"KCNK7",5,"10089"
"KCNN1",49,"3780"
"KDM8",6,"79831"
"KHK",12,"3795"
"KIAA0513",5,"9764"
"KIF13B",5,"23303"
"KIF1B",4,"23095"
"KIF1C",5,"10749"
"KIF2C",6,"11004"
"KIF3C",4,"3797"
"KIRREL3",7,"84623"
"KL",4,"9365"
"KLHL30",10,"377007"
"KLHL33",33,"123103"
"KLHL34",8,"257240"
"KLHL40",62,"131377"
"KLHL41",42,"10324"
"KLK1",84,"3816"
"KLKB1",28,"3818"
"KRBA2",5,"124751"
"KRBOX1",19,"100506243"
"KRT1",10,"3848"
"KRT10",14,"3858"
"KRT14",5,"3861"
"KRT2",57,"3849"
"KRT4",9,"3851"
"KRT5",5,"3852"
"KRT6A",5,"3853"
"KRTDAP",5,"388533"
"KY",4,"339855"
"LBHD1",4,"79081"
"LBP",23,"3929"
"LCK",18,"3932"
"LCN6",60,"158062"
"LCP2",4,"3937"
"LDB3",30,"11155"
"LEAP2",23,"116842"
"LEP",39,"3952"
"LEPR",4,"3953"
"LGALS7B",5,"653499"
"LGI2",9,"55203"
"LGI3",6,"203190"
"LHPP",6,"64077"
"LILRB2",5,"10288"
"LIME1",4,"54923"
"LIMK1",4,"3984"
"LINGO1",8,"84894"
"LIPE",5,"3991"
"LIPF",142,"8513"
"LIPG",6,"9388"
"LLGL1",4,"3996"
"LMAN1L",7,"79748"
"LMOD2",39,"442721"
"LMX1B",4,"4010"
"LPAR1",4,"1902"
"LRG1",21,"116844"
"LRRC10",54,"376132"
"LRRC10B",7,"390205"
"LRRC14B",4,"389257"
"LRRC2",5,"79442"
"LRRC20",5,"55222"
"LRRC25",4,"126364"
"LRRC27",5,"80313"
"LRRC38",6,"126755"
"LRRC4C",5,"57689"
"LRRC73",4,"221424"
"LRRK2",5,"120892"
"LRRTM1",5,"347730"
"LRWD1",10,"222229"
"LSMEM1",5,"286006"
"LTB",8,"4050"
"LTF",4,"4057"
"LY75",4,"4065"
"LYAR",4,"55646"
"LYG1",4,"129530"
"LYPD2",7,"137797"
"LYPD5",4,"284348"
"LZTS1",5,"11178"
"MAB21L2",9,"10586"
"MAEL",24,"84944"
"MAGEE1",4,"57692"
"MAGEH1",6,"28986"
"MALRD1",14,"340895"
"MAMSTR",5,"284358"
"MAP1A",7,"4130"
"MAP1B",5,"4131"
"MAP2",10,"4133"
"MAP3K10",5,"4294"
"MAP3K8",5,"1326"
"MAP6D1",5,"79929"
"MAPK12",7,"6300"
"MAPK8IP1",4,"9479"
"MAPKAPK3",4,"7867"
"MARCHF11",8,"441061"
"MASP2",57,"10747"
"MB",37,"4151"
"MBP",29,"4155"
"MCEMP1",10,"199675"
"MCOLN3",4,"55283"
"MDGA1",21,"266727"
"MEF2B",8,"100271849"
"MEST",7,"4232"
"MEX3B",4,"84206"
"MEX3D",6,"399664"
"MGARP",5,"84709"
"MICAL2",4,"9645"
"MLIP",10,"90523"
"MLXIPL",7,"51085"
"MMD",4,"23531"
"MMP11",5,"4320"
"MMP17",4,"4326"
"MMP25",4,"64386"
"MMP9",12,"4318"
"MNDA",4,"4332"
"MOG",253,"4340"
"MPO",160,"4353"
"MPP3",8,"4356"
"MRAP",25,"56246"
"MROH7",5,"374977"
"MS4A1",5,"931"
"MS4A14",6,"84689"
"MSANTD3-TMEFF1",6,"100526694"
"MSI1",5,"4440"
"MSR1",4,"4481"
"MSS51",5,"118490"
"MST1",10,"4485"
"MSX1",5,"4487"
"MT1HL1",4,"645745"
"MT3",8,"4504"
"MTCL1",5,"23255"
"MTHFD1",5,"4522"
"MTHFS",5,"10588"
"MTLN",5,"205251"
"MTURN",11,"222166"
"MTUS2",7,"23281"
"MUC7",877,"4589"
"MUCL1",4,"118430"
"MUSTN1",6,"389125"
"MVB12B",5,"89853"
"MYADML2",5,"255275"
"MYBPC1",87,"4604"
"MYBPC3",585,"4607"
"MYBPHL",35,"343263"
"MYH6",54,"4624"
"MYH7",71,"4625"
"MYH7B",9,"57644"
"MYL1",87,"4632"
"MYL11",108,"29895"
"MYL12A",5,"10627"
"MYL2",71,"4633"
"MYL4",46,"4635"
"MYL7",1058,"58498"
"MYLK3",12,"91807"
"MYLK4",17,"340156"
"MYMX",5,"101929726"
"MYO15B",5,"80022"
"MYO1F",5,"4542"
"MYOM1",37,"8736"
"MYOM2",6,"9172"
"MYOM3",8,"127294"
"MYOT",61,"9499"
"MYOZ1",81,"58529"
"MYOZ3",40,"91977"
"MYRF",4,"745"
"MYZAP",7,"100820829"
"NAALADL1",4,"10004"
"NACAD",5,"23148"
"NADK2",11,"133686"
"NAGS",7,"162417"
"NALF2",5,"27112"
"NAP1L2",4,"4674"
"NAPB",7,"63908"
"NBEA",6,"26960"
"NCAPD3",4,"23310"
"NCDN",24,"23154"
"NDUFB10",5,"4716"
"NDUFC1",6,"4717"
"NEB",61,"4703"
"NEBL",7,"10529"
"NECAB1",4,"64168"
"NECAB2",6,"54550"
"NEXN",6,"91624"
"NFE2",6,"4778"
"NFIC",4,"4782"
"NFKBIZ",5,"64332"
"NIPA1",6,"123606"
"NIPSNAP2",6,"2631"
"NKAIN2",14,"154215"
"NKG7",8,"4818"
"NKX2-5",7,"1482"
"NKX3-1",5,"4824"
"NMNAT2",5,"23057"
"NMRK2",115,"27231"
"NNAT",12,"4826"
"NOX4",8,"50507"
"NPC2",9,"10577"
"NPPA",872,"4878"
"NPPB",556,"4879"
"NPTX2",4,"4885"
"NPTXR",12,"23467"
"NR5A2",5,"2494"
"NR6A1",4,"2649"
"NRAP",4,"4892"
"NRGN",40,"4900"
"NRIP2",5,"83714"
"NRL",75,"4901"
"NRXN1",7,"9378"
"NRXN2",8,"9379"
"NSMF",7,"26012"
"NSUN4",11,"387338"
"NT5C1A",8,"84618"
"NTNG2",4,"84628"
"NUP155",5,"9631"
"NUPR2",19,"389493"
"NUSAP1",5,"51203"
"OAF",4,"220323"
"OBSCN",4,"84033"
"ODF2",8,"4957"
"OIT3",14,"170392"
"OLFM1",12,"10439"
"OPTN",6,"10133"
"ORM1",177,"5004"
"OSCAR",5,"126014"
"OSGIN1",5,"29948"
"OSM",8,"5008"
"OTOGL",6,"283310"
"OVGP1",134,"5016"
"OXCT2",11,"64064"
"OXER1",6,"165140"
"P2RX6",4,"9127"
"P2RY12",5,"64805"
"P2RY8",5,"286530"
"PACC1",7,"55248"
"PACS2",5,"23241"
"PACSIN1",25,"29993"
"PACSIN3",5,"29763"
"PADI4",9,"23569"
"PAPPA",8,"5069"
"PAQR6",28,"79957"
"PAQR9",5,"344838"
"PARP15",5,"165631"
"PAX8",8,"7849"
"PBLD",4,"64081"
"PBXIP1",4,"57326"
"PCDH10",4,"57575"
"PCDH9",4,"5101"
"PCDHGA10",4,"56106"
"PCDHGB5",4,"56101"
"PCDHGC4",6,"56098"
"PCDHGC5",6,"56097"
"PCK2",6,"5106"
"PCLO",4,"27445"
"PCNT",8,"5116"
"PCP2",5,"126006"
"PCSK1N",7,"27344"
"PDE10A",6,"10846"
"PDE1B",6,"5153"
"PDE4DIP",8,"9659"
"PDE6B",14,"5158"
"PDE8B",4,"8622"
"PDIA2",13,"64714"
"PDLIM3",7,"27295"
"PDLIM5",7,"10611"
"PDXP",4,"57026"
"PDZD4",6,"57595"
"PDZK1IP1",5,"10158"
"PEA15",4,"8682"
"PECR",5,"55825"
"PELI1",5,"57162"
"PENK",4,"5179"
"PERM1",52,"84808"
"PFKM",5,"5213"
"PFN4",27,"375189"
"PGA3",613,"643834"
"PGA4",1277,"643847"
"PGA5",2028,"5222"
"PGAM2",12,"5224"
"PGAP2",5,"27315"
"PGC",45,"5225"
"PGGHG",6,"80162"
"PGLYRP1",15,"8993"
"PGM1",4,"5236"
"PGPEP1L",4,"145814"
"PGR",4,"5241"
"PHACTR3",10,"116154"
"PHF7",214,"51533"
"PHKA1",4,"5255"
"PHKG1",16,"5260"
"PHKG2",4,"5261"
"PHOSPHO1",5,"162466"
"PHYHIP",6,"9796"
"PI3",4,"5266"
"PIANP",7,"196500"
"PIAS2",4,"9063"
"PIH1D2",4,"120379"
"PIK3CD",5,"5293"
"PIK3CG",6,"5294"
"PIK3R5",4,"23533"
"PIP",5,"5304"
"PITPNM2",6,"57605"
"PKIA",6,"5569"
"PKP4",7,"8502"
"PLA2G1B",2908,"5319"
"PLA2G2A",4,"5320"
"PLAAT1",7,"57110"
"PLAUR",6,"5329"
"PLB1",5,"151056"
"PLCD4",5,"84812"
"PLCXD3",4,"345557"
"PLEK",5,"5341"
"PLEKHG5",4,"57449"
"PLIN1",17,"5346"
"PLN",5,"5350"
"PLP1",53,"5354"
"PLPP7",7,"84814"
"PLS1",7,"5357"
"PMP2",20,"5375"
"PNLIP",4811,"5406"
"PNLIPRP1",3907,"5407"
"PNLIPRP2",108,"5408"
"PNMA2",5,"10687"
"PNMA8B",5,"57469"
"POMC",603,"5443"
"PON3",20,"5446"
"POPDC2",4,"64091"
"POU2AF1",4,"5450"
"PPDPFL",8,"492307"
"PPFIA4",10,"8497"
"PPM1N",8,"147699"
"PPP1R1B",4,"84152"
"PPP1R1C",5,"151242"
"PPP1R3A",64,"5506"
"PPP2R3A",5,"5523"
"PPP2R3B",5,"28227"
"PPP2R5B",4,"5526"
"PRCD",5,"768206"
"PRDX4",4,"10549"
"PRF1",5,"5551"
"PRG4",4,"10216"
"PRH1",13,"5554"
"PRH2",909,"5555"
"PRKAR1B",9,"5575"
"PRL",1033,"5617"
"PRLH",4,"51052"
"PRM1",1102,"5619"
"PRM2",1086,"5620"
"PROCA1",18,"147011"
"PRODH",14,"5625"
