Conc,Trt,Ind,Ratio,Indv
0,Dox,1,1.595663,87-1
0,Dox,2,0.99378,75-1
0,Dox,3,0.689173,78-1
0.1,Dox,1,1.227123,87-1
0.1,Dox,2,1.013032,75-1
0.1,Dox,3,0.640558,78-1
0.5,Dox,1,0.714286,87-1
0.5,Dox,2,0.277117,75-1
0.5,Dox,3,0.611062,78-1
1,Dox,1,0.3671,87-1
1,Dox,2,0.332488,75-1
1,Dox,3,0.417553,78-1
5,Dox,1,0.019421,87-1
5,Dox,2,0.323005,75-1
5,Dox,3,0.251441,78-1
10,Dox,1,-0.10321,87-1
10,Dox,2,-0.01054,75-1
10,Dox,3,-0.05008,78-1
